wall_time_iso,monotonic_s,t_elapsed_s,true_altitude_m,reported_lidar_m,lidar_quality,ekf_altitude_m,vertical_velocity_mps,last_statustext
2026-04-23T12:11:41.147894,465431.114492,0.500018,2.5016,,,2.4998,0.0018,
2026-04-23T12:11:41.651918,465431.618523,1.003921,2.5043,,,2.4998,0.0005,
2026-04-23T12:11:42.156256,465432.122870,1.508354,2.5042,,,2.5045,-0.0029,
2026-04-23T12:11:42.656739,465432.623360,2.008816,2.5035,,,2.5045,0.0003,
2026-04-23T12:11:43.160222,465433.126828,2.512323,2.5038,,,2.5039,-0.0025,
2026-04-23T12:11:43.663942,465433.630545,3.016055,2.5028,,,2.5039,-0.0015,
2026-04-23T12:11:44.167284,465434.133883,3.519413,2.5032,,,2.5024,0.0011,
2026-04-23T12:11:44.668129,465434.634739,4.020235,2.5028,,,2.5024,-0.0011,
2026-04-23T12:11:45.171595,465435.138194,4.523717,2.5006,,,2.5023,0.0001,
2026-04-23T12:11:45.675314,465435.641904,5.027455,2.4989,,,2.5023,0.0014,
2026-04-23T12:11:46.175780,465436.142383,5.527895,2.4969,,,2.4981,0.0050,
2026-04-23T12:11:46.679666,465436.646256,6.031807,2.4973,2.5000,100,2.4981,0.0048,
2026-04-23T12:11:47.183230,465437.149822,6.535366,2.4976,2.5000,100,2.4973,0.0063,
2026-04-23T12:11:47.687858,465437.654455,7.039979,2.4979,2.5000,100,2.4973,0.0043,
2026-04-23T12:11:48.188912,465438.155520,7.541010,2.4973,2.5000,100,2.4978,0.0035,
2026-04-23T12:11:48.691265,465438.657856,8.043405,2.4978,2.4900,100,2.4978,0.0044,
2026-04-23T12:11:49.191570,465439.158168,8.543695,2.4986,2.4900,100,2.4981,0.0035,
2026-04-23T12:11:49.692280,465439.658887,9.044381,2.5005,2.4900,100,2.4981,0.0031,
2026-04-23T12:11:50.195268,465440.161857,9.547412,2.5006,2.4900,100,2.5005,0.0011,
2026-04-23T12:11:50.699776,465440.666368,10.051911,2.5013,2.5200,100,2.5005,0.0018,
2026-04-23T12:11:51.200097,465441.166700,10.552210,2.5035,2.5200,100,2.5015,0.0009,
2026-04-23T12:11:51.703624,465441.670217,11.055762,2.5031,2.5200,100,2.5015,-0.0025,
2026-04-23T12:11:52.207703,465442.174303,11.559822,2.5034,2.5200,100,2.5029,-0.0017,
2026-04-23T12:11:52.708074,465442.674681,12.060178,2.5044,2.5000,100,2.5029,-0.0015,
2026-04-23T12:11:53.211504,465443.178099,12.563634,2.5050,2.5000,100,2.5045,-0.0021,
2026-04-23T12:11:53.715778,465443.682373,13.067906,2.5045,2.5000,100,2.5045,-0.0024,
2026-04-23T12:11:54.216015,465444.182610,13.568144,2.5024,2.5000,100,2.5042,-0.0030,
2026-04-23T12:11:54.719629,465444.686223,14.071759,2.5031,2.4900,100,2.5042,0.0008,
2026-04-23T12:11:55.219955,465445.186553,14.572079,2.5038,2.4900,100,2.5034,-0.0012,
2026-04-23T12:11:55.724070,465445.690676,15.076178,2.5042,2.4900,100,2.5034,-0.0017,
2026-04-23T12:11:56.228265,465446.194872,15.580375,2.5033,2.4900,100,2.5041,0.0002,
2026-04-23T12:11:56.735494,465446.702087,16.087630,2.5026,2.4900,100,2.5041,-0.0003,
2026-04-23T12:11:57.235573,465447.202167,16.587705,2.5037,2.5000,100,2.5031,-0.0028,
2026-04-23T12:11:57.735991,465447.702595,17.088098,2.5043,2.5000,100,2.5031,-0.0009,
2026-04-23T12:11:58.239442,465448.206036,17.591578,2.5044,2.5000,100,2.5042,-0.0021,
2026-04-23T12:11:58.744000,465448.710600,18.096117,2.5052,2.5000,100,2.5042,-0.0057,
2026-04-23T12:11:59.247668,465449.214263,18.599797,2.5060,2.4900,100,2.5059,-0.0037,
2026-04-23T12:11:59.756752,465449.723366,19.108837,2.5051,2.4900,100,2.5059,-0.0036,
2026-04-23T12:12:00.259584,465450.226176,19.611715,2.5043,2.4900,100,2.5047,-0.0019,
2026-04-23T12:12:00.763426,465450.730020,20.115565,2.5053,2.4900,100,2.5047,-0.0033,
2026-04-23T12:12:01.263622,465451.230221,20.615750,2.5063,2.5100,100,2.5052,-0.0023,
2026-04-23T12:12:01.763902,465451.730504,21.116021,2.5097,2.5100,100,2.5052,-0.0022,
2026-04-23T12:12:02.267667,465452.234261,21.619802,2.5114,2.5100,100,2.5108,-0.0075,
2026-04-23T12:12:02.771265,465452.737859,22.123400,2.5101,2.5100,100,2.5108,-0.0092,
2026-04-23T12:12:03.271720,465453.238314,22.623849,2.5075,2.5000,100,2.5092,-0.0065,
2026-04-23T12:12:03.775896,465453.742496,23.128017,2.5077,2.5000,100,2.5092,-0.0063,
2026-04-23T12:12:04.279282,465454.245871,23.631426,2.5070,2.5000,100,2.5074,-0.0043,
2026-04-23T12:12:04.779555,465454.746152,24.131675,2.5058,2.5000,100,2.5074,-0.0032,
2026-04-23T12:12:05.279897,465455.246495,24.632020,2.5068,2.4900,100,2.5063,-0.0039,
2026-04-23T12:12:05.783174,465455.749765,25.135315,2.5057,2.4900,100,2.5063,-0.0036,
2026-04-23T12:12:06.283667,465456.250266,25.635792,2.5042,2.4900,100,2.5049,-0.0005,
2026-04-23T12:12:06.783727,465456.750326,26.135850,2.5039,2.4900,100,2.5049,-0.0004,
2026-04-23T12:12:07.287431,465457.254022,26.639573,2.5028,2.5000,100,2.5035,-0.0025,
2026-04-23T12:12:07.787863,465457.754469,27.139969,2.5006,2.5000,100,2.5035,-0.0004,
2026-04-23T12:12:08.288148,465458.254756,27.640247,2.4987,2.5000,100,2.5000,0.0022,
2026-04-23T12:12:08.791329,465458.757919,28.143471,2.4969,2.5000,100,2.5000,0.0050,
2026-04-23T12:12:09.292291,465459.258892,28.644405,2.4968,2.5100,100,2.4970,0.0058,
2026-04-23T12:12:09.795974,465459.762573,29.148093,2.4949,2.5100,100,2.4970,0.0055,
2026-04-23T12:12:10.299440,465460.266033,29.651579,2.4940,2.5100,100,2.4942,0.0086,
2026-04-23T12:12:10.800074,465460.766676,30.152190,2.4962,2.5100,100,2.4942,0.0080,
2026-04-23T12:12:11.303812,465461.270414,30.655930,2.4966,2.5100,100,2.4967,0.0050,
2026-04-23T12:12:11.807625,465461.774220,31.159755,2.4961,2.5100,100,2.4967,0.0058,
2026-04-23T12:12:12.307915,465462.274514,31.660036,2.4991,2.5100,100,2.4969,0.0044,
2026-04-23T12:12:12.807947,465462.774548,32.160064,2.5006,2.5100,100,2.4969,0.0045,
2026-04-23T12:12:13.316319,465463.282922,32.668427,2.5001,2.4900,100,2.5009,0.0013,
2026-04-23T12:12:13.824217,465463.790824,33.176314,2.5003,2.4900,100,2.5009,0.0009,
