wall_time_iso,monotonic_s,t_elapsed_s,true_altitude_m,reported_lidar_m,lidar_quality,ekf_altitude_m,vertical_velocity_mps,last_statustext
2026-04-23T12:13:50.183518,465560.150108,0.500122,2.5003,,,2.5011,0.0000,
2026-04-23T12:13:50.687338,465560.653928,1.003925,2.5005,,,2.5011,0.0022,
2026-04-23T12:13:51.191318,465561.157909,1.507924,2.5023,,,2.5015,0.0012,
2026-04-23T12:13:51.691497,465561.658087,2.008101,2.5008,,,2.5015,-0.0020,
2026-04-23T12:13:52.195559,465562.162152,2.512159,2.4998,,,2.5000,0.0020,
2026-04-23T12:13:52.695869,465562.662473,3.012446,2.4997,,,2.5000,0.0031,
2026-04-23T12:13:53.199193,465563.165786,3.515795,2.4999,,,2.5001,0.0005,
2026-04-23T12:13:53.699779,465563.666374,4.016374,2.5005,,,2.5001,0.0034,
2026-04-23T12:13:54.203609,465564.170205,4.520203,2.5026,,,2.5021,-0.0002,
2026-04-23T12:13:54.707474,465564.674068,5.024071,2.5032,,,2.5021,-0.0003,
2026-04-23T12:13:55.211225,465565.177819,5.527824,2.5039,,,2.5036,-0.0003,
2026-04-23T12:13:55.711270,465565.677859,6.027879,2.5053,0.5000,100,2.5036,-0.0019,
2026-04-23T12:13:56.211786,465566.178385,6.528371,2.5066,0.5000,100,2.5063,-0.0054,
2026-04-23T12:13:56.712096,465566.678696,7.028678,2.5049,0.5000,100,2.5063,-0.0063,
2026-04-23T12:13:57.216066,465567.182669,7.532645,2.5049,0.5000,100,2.5048,-0.0026,
2026-04-23T12:13:57.716140,465567.682747,8.032711,2.5047,0.5000,100,2.5048,-0.0025,
2026-04-23T12:13:58.216188,465568.182793,8.532768,2.5065,0.5000,100,2.5057,-0.0017,
2026-04-23T12:13:58.719638,465568.686236,9.036222,2.5064,0.5000,100,2.5057,-0.0038,
2026-04-23T12:13:59.223663,465569.190261,9.540254,2.5070,0.5000,100,2.5066,-0.0034,
2026-04-23T12:13:59.724371,465569.690974,10.040948,2.5081,0.5000,100,2.5066,-0.0021,
2026-04-23T12:14:00.227312,465570.193904,10.543916,2.5072,0.5000,100,2.5078,-0.0067,
2026-04-23T12:14:00.727355,465570.693948,11.043954,2.5077,0.5000,100,2.5078,-0.0033,
2026-04-23T12:14:01.231881,465571.198480,11.548463,2.5076,0.5000,100,2.5078,-0.0043,
2026-04-23T12:14:01.735849,465571.702446,12.052438,2.5077,0.5000,100,2.5078,-0.0048,
2026-04-23T12:14:02.239996,465572.206592,12.556587,2.5070,0.5000,100,2.5072,-0.0044,
2026-04-23T12:14:02.744003,465572.710612,13.060569,2.5062,0.5000,100,2.5072,-0.0039,
2026-04-23T12:14:03.244208,465573.210819,13.560771,2.5063,0.5000,100,2.5063,-0.0027,
2026-04-23T12:14:03.747887,465573.714486,14.064471,2.5054,0.5000,100,2.5063,-0.0020,
2026-04-23T12:14:04.252110,465574.218714,14.568684,2.5038,0.5000,100,2.5045,-0.0049,
2026-04-23T12:14:04.755583,465574.722175,15.072182,2.5027,0.5000,100,2.5045,-0.0009,
2026-04-23T12:14:05.256288,465575.222898,15.572842,2.5027,0.5000,100,2.5027,-0.0022,
2026-04-23T12:14:05.763546,465575.730140,16.080140,2.5019,0.5000,100,2.5027,-0.0013,
