wall_time_iso,monotonic_s,t_elapsed_s,true_altitude_m,reported_lidar_m,lidar_quality,ekf_altitude_m,vertical_velocity_mps,last_statustext
2026-04-23T12:19:11.368592,465881.335201,0.503831,10.0316,,,10.0321,0.0142,
2026-04-23T12:19:11.868773,465881.835380,1.004014,10.0305,,,10.0321,0.0156,
2026-04-23T12:19:12.375591,465882.342182,1.510881,10.0302,,,10.0300,0.0166,
2026-04-23T12:19:12.875697,465882.842297,2.010962,10.0325,,,10.0300,0.0170,
2026-04-23T12:19:13.376498,465883.343112,2.511730,10.0320,,,10.0322,0.0141,
2026-04-23T12:19:13.879436,465883.846026,3.014704,10.0329,,,10.0322,0.0150,
2026-04-23T12:19:14.380026,465884.346631,3.515284,10.0331,,,10.0322,0.0135,
2026-04-23T12:19:14.880781,465884.847389,4.015912,10.0326,,,10.0331,0.0134,
2026-04-23T12:19:15.383342,465885.349933,4.518630,10.0322,,,10.0331,0.0159,
2026-04-23T12:19:15.883380,465885.849970,5.018650,10.0323,,,10.0326,0.0146,
2026-04-23T12:19:16.391252,465886.357843,5.526539,10.0311,,,10.0326,0.0130,
2026-04-23T12:19:16.891444,465886.858034,6.026733,10.0309,3.2900,100,10.0306,0.0176,
2026-04-23T12:19:17.391788,465887.358388,6.527044,10.0324,3.2900,100,10.0306,0.0156,
2026-04-23T12:19:17.895529,465887.862126,7.030791,10.0331,3.2900,100,10.0328,0.0138,
2026-04-23T12:19:18.399660,465888.366249,7.534952,10.0325,3.2900,100,10.0328,0.0144,
2026-04-23T12:19:18.903708,465888.870304,8.038986,10.0222,2.6400,100,10.0325,0.0173,
2026-04-23T12:19:19.403789,465889.370385,8.539062,10.0239,2.6400,100,10.0325,0.0233,
2026-04-23T12:19:19.907535,465889.874132,9.042809,10.0285,2.6400,100,10.0247,0.0222,
2026-04-23T12:19:20.411318,465890.377910,9.546603,10.0329,2.6400,100,10.0247,0.0176,
2026-04-23T12:19:20.911735,465890.878334,10.047005,10.0339,3.3700,100,10.0335,0.0113,
2026-04-23T12:19:21.415532,465891.382128,10.550809,10.0338,3.3700,100,10.0335,0.0120,
2026-04-23T12:19:21.919636,465891.886230,11.054914,10.0340,3.3700,100,10.0339,0.0115,
2026-04-23T12:19:22.419705,465892.386303,11.554976,10.0343,3.3700,100,10.0339,0.0106,
2026-04-23T12:19:22.927283,465892.893876,12.062565,10.0358,2.8400,100,10.0343,0.0105,
2026-04-23T12:19:23.427799,465893.394397,12.563068,10.0375,2.8400,100,10.0343,0.0109,
2026-04-23T12:19:23.928174,465893.894776,13.063429,10.0378,2.8400,100,10.0379,0.0089,
2026-04-23T12:19:24.431663,465894.398260,13.566939,10.0359,2.8400,100,10.0379,0.0072,
2026-04-23T12:19:24.935484,465894.902077,14.070766,10.0359,3.3000,100,10.0354,0.0118,
2026-04-23T12:19:25.435506,465895.402100,14.570786,10.0388,3.3000,100,10.0354,0.0104,
2026-04-23T12:19:25.935885,465895.902483,15.071157,10.0392,3.3000,100,10.0390,0.0082,
2026-04-23T12:19:26.436459,465896.403069,15.571697,10.0391,3.3000,100,10.0390,0.0079,
2026-04-23T12:19:26.939354,465896.905944,16.074641,10.0403,2.4200,100,10.0396,0.0069,
2026-04-23T12:19:27.439528,465897.406126,16.574804,10.0390,2.4200,100,10.0396,0.0069,
2026-04-23T12:19:27.940409,465897.907005,17.075683,10.0363,2.4200,100,10.0383,0.0094,
2026-04-23T12:19:28.444028,465898.410629,17.579294,10.0356,2.4200,100,10.0383,0.0100,
2026-04-23T12:19:28.951919,465898.918520,18.087181,10.0367,2.3200,100,10.0360,0.0080,
2026-04-23T12:19:29.455743,465899.422339,18.591017,10.0365,2.3200,100,10.0360,0.0099,
2026-04-23T12:19:29.955784,465899.922383,19.091058,10.0361,2.3200,100,10.0362,0.0106,
2026-04-23T12:19:30.459501,465900.426097,19.594776,10.0368,2.3200,100,10.0362,0.0111,
2026-04-23T12:19:30.959496,465900.926089,20.094778,10.0353,3.1500,100,10.0367,0.0116,
2026-04-23T12:19:31.459732,465901.426327,20.595010,10.0388,3.1500,100,10.0367,0.0106,
2026-04-23T12:19:31.964073,465901.930682,21.099330,10.0420,3.1500,100,10.0396,0.0070,
2026-04-23T12:19:32.467676,465902.434275,21.602946,10.0415,3.1500,100,10.0396,0.0041,
2026-04-23T12:19:32.967866,465902.934467,22.103131,10.0399,2.1400,100,10.0410,0.0051,
2026-04-23T12:19:33.471488,465903.438080,22.606775,10.0380,2.1400,100,10.0410,0.0089,
2026-04-23T12:19:33.971507,465903.938100,23.106790,10.0352,2.1400,100,10.0371,0.0103,
2026-04-23T12:19:34.475256,465904.441845,23.610547,10.0341,2.1400,100,10.0371,0.0116,
2026-04-23T12:19:34.975281,465904.941872,24.110567,10.0353,2.4700,100,10.0343,0.0121,
2026-04-23T12:19:35.475356,465905.441947,24.610645,10.0383,2.4700,100,10.0343,0.0110,
2026-04-23T12:19:35.976060,465905.942656,25.111336,10.0370,2.4700,100,10.0382,0.0084,
2026-04-23T12:19:36.479434,465906.446028,25.614716,10.0381,2.4700,100,10.0382,0.0123,
2026-04-23T12:19:36.983481,465906.950072,26.118769,10.0390,2.5000,100,10.0386,0.0054,
2026-04-23T12:19:37.488088,465907.454690,26.623346,10.0402,2.5000,100,10.0386,0.0059,
2026-04-23T12:19:37.992136,465907.958741,27.127394,10.0402,2.5000,100,10.0404,0.0054,
2026-04-23T12:19:38.495511,465908.462100,27.630804,10.0399,2.5000,100,10.0404,0.0076,
2026-04-23T12:19:38.995680,465908.962272,28.130962,10.0397,2.5000,100,10.0399,0.0081,
2026-04-23T12:19:39.499852,465909.466450,28.635122,10.0408,2.1500,100,10.0399,0.0064,
2026-04-23T12:19:40.003417,465909.970011,29.138696,10.0413,2.1500,100,10.0411,0.0050,
2026-04-23T12:19:40.503894,465910.470496,29.639159,10.0421,2.1500,100,10.0411,0.0064,
2026-04-23T12:19:41.007669,465910.974265,30.142948,10.0430,2.1500,100,10.0423,0.0053,
2026-04-23T12:19:41.511682,465911.478276,30.646962,10.0402,2.9700,100,10.0423,0.0037,
2026-04-23T12:19:42.012031,465911.978635,31.147291,10.0380,2.9700,100,10.0387,0.0069,
