wall_time_iso,monotonic_s,t_elapsed_s,mode,distance_cm,distance_m,signal_quality,covariance,min_cm,max_cm
2026-04-23T12:20:06.327930,465936.293332,0.000005,noisy,163,1.6300,100,1,5,4000
2026-04-23T12:20:06.347009,465936.313498,0.020172,noisy,222,2.2200,100,1,5,4000
2026-04-23T12:20:06.366998,465936.333491,0.040165,noisy,174,1.7400,100,1,5,4000
2026-04-23T12:20:06.387022,465936.353520,0.060194,noisy,309,3.0900,100,1,5,4000
2026-04-23T12:20:06.407061,465936.373506,0.080180,noisy,220,2.2000,100,1,5,4000
2026-04-23T12:20:06.427041,465936.393475,0.100149,noisy,258,2.5800,100,1,5,4000
2026-04-23T12:20:06.447007,465936.413406,0.120080,noisy,201,2.0100,100,1,5,4000
2026-04-23T12:20:06.467252,465936.433514,0.140188,noisy,306,3.0600,100,1,5,4000
2026-04-23T12:20:06.487401,465936.453521,0.160195,noisy,295,2.9500,100,1,5,4000
2026-04-23T12:20:06.507540,465936.473571,0.180245,noisy,232,2.3200,100,1,5,4000
2026-04-23T12:20:06.527240,465936.493441,0.200115,noisy,158,1.5800,100,1,5,4000
2026-04-23T12:20:06.546978,465936.513416,0.220090,noisy,247,2.4700,100,1,5,4000
2026-04-23T12:20:06.566958,465936.533413,0.240087,noisy,253,2.5300,100,1,5,4000
2026-04-23T12:20:06.587000,465936.553398,0.260072,noisy,318,3.1800,100,1,5,4000
2026-04-23T12:20:06.606916,465936.573390,0.280064,noisy,179,1.7900,100,1,5,4000
2026-04-23T12:20:06.627000,465936.593421,0.300095,noisy,260,2.6000,100,1,5,4000
2026-04-23T12:20:06.647059,465936.613415,0.320089,noisy,281,2.8100,100,1,5,4000
2026-04-23T12:20:06.667065,465936.633423,0.340097,noisy,328,3.2800,100,1,5,4000
2026-04-23T12:20:06.686885,465936.653390,0.360064,noisy,241,2.4100,100,1,5,4000
2026-04-23T12:20:06.706969,465936.673421,0.380095,noisy,227,2.2700,100,1,5,4000
2026-04-23T12:20:06.726995,465936.693422,0.400096,noisy,163,1.6300,100,1,5,4000
2026-04-23T12:20:06.746996,465936.713400,0.420073,noisy,315,3.1500,100,1,5,4000
2026-04-23T12:20:06.767000,465936.733421,0.440095,noisy,292,2.9200,100,1,5,4000
2026-04-23T12:20:06.787013,465936.753416,0.460090,noisy,240,2.4000,100,1,5,4000
2026-04-23T12:20:06.806981,465936.773408,0.480082,noisy,302,3.0200,100,1,5,4000
2026-04-23T12:20:06.826910,465936.793403,0.500077,noisy,285,2.8500,100,1,5,4000
2026-04-23T12:20:06.846904,465936.813386,0.520060,noisy,258,2.5800,100,1,5,4000
2026-04-23T12:20:06.866903,465936.833402,0.540076,noisy,225,2.2500,100,1,5,4000
2026-04-23T12:20:06.886980,465936.853393,0.560067,noisy,278,2.7800,100,1,5,4000
2026-04-23T12:20:06.906912,465936.873401,0.580075,noisy,264,2.6400,100,1,5,4000
2026-04-23T12:20:06.926985,465936.893410,0.600084,noisy,195,1.9500,100,1,5,4000
2026-04-23T12:20:06.947108,465936.913414,0.620088,noisy,254,2.5400,100,1,5,4000
2026-04-23T12:20:06.967013,465936.933423,0.640097,noisy,294,2.9400,100,1,5,4000
2026-04-23T12:20:06.986886,465936.953389,0.660063,noisy,235,2.3500,100,1,5,4000
2026-04-23T12:20:07.006944,465936.973418,0.680092,noisy,217,2.1700,100,1,5,4000
2026-04-23T12:20:07.027309,465936.993526,0.700199,noisy,317,3.1700,100,1,5,4000
