wall_time_iso,monotonic_s,t_elapsed_s,true_altitude_m,reported_lidar_m,lidar_quality,ekf_altitude_m,vertical_velocity_mps,last_statustext
2026-05-10T00:14:06.892127,44543.026334,0.507462,2.5244,,,2.5238,-0.0065,
2026-05-10T00:14:07.392308,44543.526513,1.007554,2.5244,,,2.5238,-0.0083,
2026-05-10T00:14:07.892628,44544.026841,1.507955,2.5242,,,2.5243,-0.0083,
2026-05-10T00:14:08.392976,44544.527188,2.008135,2.5239,,,2.5243,-0.0086,
2026-05-10T00:14:08.896357,44545.030568,2.511687,2.5218,2.5000,100,2.5221,-0.0074,
2026-05-10T00:14:09.396546,44545.530749,3.011799,2.5220,2.5000,100,2.5221,-0.0052,
2026-05-10T00:14:09.896794,44546.031014,3.512106,2.5222,2.5000,100,2.5227,-0.0078,
2026-05-10T00:14:10.396854,44546.531057,4.012195,2.5184,2.5000,100,2.5227,-0.0050,
2026-05-10T00:14:10.900778,44547.034992,4.516099,2.5174,2.6000,100,2.5175,0.0002,
2026-05-10T00:14:11.412107,44547.546312,5.027453,2.5154,2.6000,100,2.5175,0.0005,
2026-05-10T00:14:11.916487,44548.050698,5.531817,2.5150,2.6000,100,2.5151,0.0008,
2026-05-10T00:14:12.416577,44548.550785,6.031914,-485.2956,2.6000,100,2.5151,0.1185,
2026-05-10T00:14:12.924522,44549.058726,6.539866,-485.0414,2.7000,100,-485.1321,1.1179,
2026-05-10T00:14:13.424688,44549.558903,7.040007,-484.1275,2.7000,100,-485.1321,2.5669,
2026-05-10T00:14:13.932310,44550.066516,7.547649,-482.7740,2.7000,100,-483.0514,3.0273,
2026-05-10T00:14:14.432459,44550.566664,8.047799,-481.2909,2.7000,100,-483.0514,2.9890,
2026-05-10T00:14:14.932478,44551.066686,8.547814,-479.7948,2.8000,100,-480.0859,2.9916,
2026-05-10T00:14:15.436132,44551.570337,9.051469,-478.2592,2.8000,100,-480.0859,2.9970,
2026-05-10T00:14:15.936179,44552.070381,9.551530,-476.7433,2.8000,100,-477.0363,2.9974,
2026-05-10T00:14:16.440237,44552.574443,10.055577,-475.2082,2.8000,100,-477.0363,2.9929,
2026-05-10T00:14:16.940366,44553.074574,10.555702,-473.7039,2.9000,100,-473.9944,2.9841,
2026-05-10T00:14:17.444117,44553.578322,11.059459,-472.1834,2.9000,100,-473.9944,2.9746,
2026-05-10T00:14:17.944177,44554.078380,11.559526,-470.6917,2.9000,100,-470.9803,2.9714,
2026-05-10T00:14:18.444199,44554.578404,12.059544,-469.1321,2.9000,100,-470.9803,2.9706,
2026-05-10T00:14:18.948505,44555.082720,12.563826,-467.6978,3.0000,100,-467.9840,2.9727,
2026-05-10T00:14:19.452337,44555.586547,13.067674,-466.2141,3.0000,100,-467.9840,2.9801,
2026-05-10T00:14:19.956389,44556.090593,13.571734,-464.7292,3.0000,100,-465.0178,2.9933,
2026-05-10T00:14:20.456410,44556.590616,14.071755,-463.1607,3.0000,100,-465.0178,2.9955,
2026-05-10T00:14:20.956469,44557.090676,14.571811,-461.6396,3.1000,100,-462.0014,2.9900,
2026-05-10T00:14:21.456522,44557.590733,15.071852,-460.1959,3.1000,100,-462.0014,2.9842,
2026-05-10T00:14:21.956522,44558.090730,15.571860,-458.7150,3.1000,100,-459.0001,2.9497,
2026-05-10T00:14:22.456670,44558.590876,16.071992,-457.2319,3.1000,100,-459.0001,2.9124,
2026-05-10T00:14:22.964078,44559.098278,16.579435,-455.7639,3.1900,100,-456.0660,2.8931,
2026-05-10T00:14:23.464531,44559.598741,17.079865,-454.3252,3.1900,100,-456.0660,2.8895,
2026-05-10T00:14:23.968456,44560.102666,17.583786,-452.8870,3.1900,100,-453.1650,2.8961,
2026-05-10T00:14:24.472086,44560.606288,18.087434,-451.4235,3.1900,100,-453.1650,2.9153,
2026-05-10T00:14:24.972304,44561.106510,18.587645,-449.9922,3.3000,100,-450.2696,2.9420,
2026-05-10T00:14:25.479771,44561.613970,19.095129,-448.5007,3.3000,100,-450.2696,2.9837,
2026-05-10T00:14:25.979787,44562.113987,19.595144,-446.9865,3.3000,100,-447.2995,2.9902,
2026-05-10T00:14:26.480538,44562.614748,20.095871,-445.4941,3.3000,100,-447.2995,2.9828,
2026-05-10T00:14:26.980689,44563.114913,20.595991,-444.0035,3.4000,100,-444.2918,2.9806,
2026-05-10T00:14:27.492286,44563.626496,21.107620,-442.4459,3.4000,100,-444.2918,2.9768,
2026-05-10T00:14:27.992396,44564.126608,21.607725,-440.9365,3.4000,100,-441.2960,2.9798,
2026-05-10T00:14:28.492409,44564.626619,22.107740,-439.4279,3.4000,100,-441.2960,2.9771,
2026-05-10T00:14:28.992517,44565.126734,22.607836,-437.9460,3.5000,100,-438.3044,2.9765,
2026-05-10T00:14:29.499937,44565.634139,23.115289,-436.4636,3.5000,100,-438.3044,2.9799,
2026-05-10T00:14:30.004676,44566.138891,23.619997,-434.9575,3.5000,100,-435.3157,2.9832,
2026-05-10T00:14:30.504803,44566.639015,24.120126,-433.4943,3.5000,100,-435.3157,2.9866,
2026-05-10T00:14:31.004979,44567.139204,24.620281,-431.9932,3.6000,100,-432.3535,2.9995,
2026-05-10T00:14:31.508635,44567.642845,25.123964,-430.4969,3.6000,100,-432.3535,3.0029,
2026-05-10T00:14:32.020420,44568.154632,25.635748,-428.9274,3.6000,100,-429.3379,2.9994,
