wall_time_iso,monotonic_s,t_elapsed_s,true_altitude_m,reported_lidar_m,lidar_quality,ekf_altitude_m,vertical_velocity_mps,last_statustext
2026-05-10T00:29:38.017316,45474.151531,0.507074,2.4826,2.7000,100,2.5020,-0.0006,
2026-05-10T00:29:38.517628,45474.651841,1.007196,2.4830,2.7000,100,2.4827,-0.0001,
2026-05-10T00:29:39.020994,45475.155211,1.510762,2.4836,2.7000,100,2.4827,-0.0014,
2026-05-10T00:29:39.529020,45475.663232,2.018782,2.4811,2.7000,100,2.4829,-0.0025,
2026-05-10T00:29:40.032781,45476.166991,2.522556,2.4778,2.8000,100,2.4829,0.0004,
2026-05-10T00:29:40.536593,45476.670798,3.026383,2.4763,2.8000,100,2.4773,0.0044,
2026-05-10T00:29:41.036624,45477.170832,3.526407,2.4765,2.8000,100,2.4773,0.0041,
2026-05-10T00:29:41.540696,45477.674936,4.030481,2.4790,2.8000,100,2.4774,0.0031,
2026-05-10T00:29:42.041045,45478.175255,4.530822,2.4797,2.9000,100,2.4774,0.0004,
2026-05-10T00:29:42.548570,45478.682772,5.038367,2.4801,2.9000,100,2.4797,0.0005,
2026-05-10T00:29:43.049616,45479.183830,5.539385,2.4789,2.9000,100,2.4797,-0.0006,
2026-05-10T00:29:43.556757,45479.690961,6.046543,2.4781,2.9000,100,2.4785,0.0006,
2026-05-10T00:29:44.061137,45480.195354,6.550894,2.4800,3.0000,100,2.4785,0.0011,
2026-05-10T00:29:44.564551,45480.698756,7.054338,2.4790,3.0000,100,2.4796,0.0007,
2026-05-10T00:29:45.064665,45481.198875,7.554445,2.4764,3.0000,100,2.4796,0.0035,
2026-05-10T00:29:45.564692,45481.698896,8.054484,2.4810,3.0000,100,2.4776,0.0020,
2026-05-10T00:29:46.068757,45482.202959,8.558548,2.4828,3.1000,100,2.4776,-0.0001,
2026-05-10T00:29:46.572781,45482.706981,9.062576,2.4816,3.1000,100,2.4825,-0.0028,
2026-05-10T00:29:47.072945,45483.207154,9.562723,2.4818,3.1000,100,2.4825,0.0006,
2026-05-10T00:29:47.580497,45483.714698,10.070294,2.4834,3.1000,100,2.4827,-0.0018,
2026-05-10T00:29:48.081407,45484.215620,10.571171,2.4850,3.1900,100,2.4827,-0.0036,
2026-05-10T00:29:48.585154,45484.719374,11.074911,2.4869,3.1900,100,2.4859,-0.0077,
