wall_time_iso,monotonic_s,t_elapsed_s,true_altitude_m,reported_lidar_m,lidar_quality,ekf_altitude_m,vertical_velocity_mps,last_statustext
2026-05-10T00:32:06.753383,45622.887602,0.507617,2.2288,,,2.4160,0.0126,
2026-05-10T00:32:07.257230,45623.391444,1.011478,2.2319,,,2.2294,0.0134,
2026-05-10T00:32:07.760474,45623.894683,1.514745,2.2338,,,2.2294,0.0091,
2026-05-10T00:32:08.261142,45624.395348,2.015297,2.2336,,,2.2334,0.0090,
2026-05-10T00:32:08.765099,45624.899310,2.519365,2.2327,,,2.2334,0.0103,
2026-05-10T00:32:09.265106,45625.399313,3.019369,2.2315,,,2.2318,0.0078,
2026-05-10T00:32:09.765300,45625.899509,3.519566,2.2324,,,2.2318,0.0105,
2026-05-10T00:32:10.268928,45626.403130,4.023139,2.2330,,,2.2327,0.0099,
2026-05-10T00:32:10.768938,45626.903149,4.523207,2.2342,,,2.2327,0.0111,
2026-05-10T00:32:11.269163,45627.403371,5.023430,2.2331,,,2.2340,0.0090,
2026-05-10T00:32:11.776696,45627.910900,5.530976,2.2307,2.5000,100,2.2340,0.0076,
2026-05-10T00:32:12.280804,45628.415012,6.035074,2.2292,2.5000,100,2.2296,0.0135,
2026-05-10T00:32:12.785262,45628.919479,6.539515,2.2295,2.5000,100,2.2296,0.0112,
2026-05-10T00:32:13.285335,45629.419552,7.039587,2.2316,2.5000,100,2.2305,0.0121,
2026-05-10T00:32:13.789285,45629.923499,7.543540,2.2323,2.6000,100,2.2305,0.0080,
2026-05-10T00:32:14.289346,45630.423555,8.043611,2.2329,2.6000,100,2.2321,0.0101,
2026-05-10T00:32:14.796732,45630.930937,8.551011,2.2360,2.6000,100,2.2321,0.0103,
2026-05-10T00:32:15.300351,45631.434553,9.054635,2.2377,2.6000,100,2.2368,0.0054,
2026-05-10T00:32:15.801107,45631.935318,9.555376,2.2387,2.7000,100,2.2368,0.0040,
2026-05-10T00:32:16.308898,45632.443105,10.063172,2.2377,2.7000,100,2.2390,0.0021,
2026-05-10T00:32:16.809293,45632.943508,10.563550,2.2377,2.7000,100,2.2390,0.0077,
2026-05-10T00:32:17.316701,45633.450903,11.070987,2.2389,2.7000,100,2.2383,0.0048,
2026-05-10T00:32:17.821341,45633.955557,11.575593,2.2406,2.8000,100,2.2383,0.0026,
2026-05-10T00:32:18.328949,45634.463158,12.083205,2.2407,2.8000,100,2.2410,-0.0004,
