wall_time_iso,monotonic_s,t_elapsed_s,mode,distance_cm,distance_m,signal_quality,covariance,min_cm,max_cm
2026-04-23T12:11:46.653041,465436.618318,0.000006,normal,250,2.5000,100,1,5,4000
2026-04-23T12:11:46.671948,465436.638432,0.020120,normal,251,2.5100,100,1,5,4000
2026-04-23T12:11:46.691905,465436.658382,0.040070,normal,251,2.5100,100,1,5,4000
2026-04-23T12:11:46.712024,465436.678397,0.060085,normal,250,2.5000,100,1,5,4000
2026-04-23T12:11:46.732221,465436.698422,0.080110,normal,250,2.5000,100,1,5,4000
2026-04-23T12:11:46.752165,465436.718487,0.100175,normal,250,2.5000,100,1,5,4000
2026-04-23T12:11:46.772230,465436.738479,0.120167,normal,250,2.5000,100,1,5,4000
2026-04-23T12:11:46.792080,465436.758408,0.140096,normal,249,2.4900,100,1,5,4000
2026-04-23T12:11:46.812180,465436.778416,0.160104,normal,250,2.5000,100,1,5,4000
2026-04-23T12:11:46.832281,465436.798435,0.180123,normal,251,2.5100,100,1,5,4000
2026-04-23T12:11:46.852113,465436.818456,0.200144,normal,251,2.5100,100,1,5,4000
2026-04-23T12:11:46.871929,465436.838413,0.220101,normal,252,2.5200,100,1,5,4000
2026-04-23T12:11:46.891917,465436.858415,0.240103,normal,249,2.4900,100,1,5,4000
2026-04-23T12:11:46.911991,465436.878394,0.260082,normal,249,2.4900,100,1,5,4000
2026-04-23T12:11:46.932053,465436.898401,0.280089,normal,250,2.5000,100,1,5,4000
2026-04-23T12:11:46.952232,465436.918428,0.300116,normal,249,2.4900,100,1,5,4000
2026-04-23T12:11:46.972304,465436.938434,0.320122,normal,250,2.5000,100,1,5,4000
2026-04-23T12:11:46.992123,465436.958415,0.340104,normal,250,2.5000,100,1,5,4000
2026-04-23T12:11:47.012078,465436.978402,0.360090,normal,250,2.5000,100,1,5,4000
2026-04-23T12:11:47.032154,465436.998478,0.380166,normal,250,2.5000,100,1,5,4000
2026-04-23T12:11:47.052175,465437.018419,0.400107,normal,248,2.4800,100,1,5,4000
2026-04-23T12:11:47.072216,465437.038506,0.420194,normal,249,2.4900,100,1,5,4000
2026-04-23T12:11:47.092089,465437.058402,0.440090,normal,252,2.5200,100,1,5,4000
2026-04-23T12:11:47.112111,465437.078409,0.460097,normal,250,2.5000,100,1,5,4000
2026-04-23T12:11:47.132286,465437.098434,0.480122,normal,250,2.5000,100,1,5,4000
2026-04-23T12:11:47.152174,465437.118432,0.500120,normal,250,2.5000,100,1,5,4000
2026-04-23T12:11:47.171945,465437.138392,0.520080,normal,249,2.4900,100,1,5,4000
2026-04-23T12:11:47.191915,465437.158432,0.540120,normal,251,2.5100,100,1,5,4000
2026-04-23T12:11:47.212006,465437.178392,0.560080,normal,252,2.5200,100,1,5,4000
2026-04-23T12:11:47.232297,465437.198529,0.580217,normal,251,2.5100,100,1,5,4000
2026-04-23T12:11:47.252058,465437.218395,0.600083,normal,250,2.5000,100,1,5,4000
2026-04-23T12:11:47.272140,465437.238471,0.620159,normal,251,2.5100,100,1,5,4000
2026-04-23T12:11:47.291949,465437.258382,0.640071,normal,249,2.4900,100,1,5,4000
2026-04-23T12:11:47.311978,465437.278387,0.660075,normal,250,2.5000,100,1,5,4000
2026-04-23T12:11:47.332061,465437.298400,0.680088,normal,249,2.4900,100,1,5,4000
2026-04-23T12:11:47.352100,465437.318416,0.700104,normal,249,2.4900,100,1,5,4000
2026-04-23T12:11:47.372075,465437.338405,0.720093,normal,251,2.5100,100,1,5,4000
2026-04-23T12:11:47.392088,465437.358455,0.740143,normal,250,2.5000,100,1,5,4000
2026-04-23T12:11:47.411945,465437.378383,0.760071,normal,250,2.5000,100,1,5,4000
2026-04-23T12:11:47.431946,465437.398386,0.780074,normal,250,2.5000,100,1,5,4000
2026-04-23T12:11:47.451953,465437.418410,0.800098,normal,248,2.4800,100,1,5,4000
