wall_time_iso,monotonic_s,t_elapsed_s,mode,distance_cm,distance_m,signal_quality,covariance,min_cm,max_cm
2026-04-23T12:17:28.689031,465778.654492,0.000004,oscillation,250,2.5000,100,1,5,4000
2026-04-23T12:17:28.708068,465778.674575,0.020087,oscillation,259,2.5900,100,1,5,4000
2026-04-23T12:17:28.728179,465778.694678,0.040191,oscillation,269,2.6900,100,1,5,4000
2026-04-23T12:17:28.748086,465778.714579,0.060092,oscillation,278,2.7800,100,1,5,4000
2026-04-23T12:17:28.768159,465778.734659,0.080171,oscillation,287,2.8700,100,1,5,4000
2026-04-23T12:17:28.788105,465778.754588,0.100100,oscillation,296,2.9600,100,1,5,4000
2026-04-23T12:17:28.808089,465778.774584,0.120097,oscillation,305,3.0500,100,1,5,4000
2026-04-23T12:17:28.828094,465778.794581,0.140094,oscillation,314,3.1400,100,1,5,4000
2026-04-23T12:17:28.848124,465778.814594,0.160106,oscillation,322,3.2200,100,1,5,4000
2026-04-23T12:17:28.868111,465778.834588,0.180101,oscillation,330,3.3000,100,1,5,4000
2026-04-23T12:17:28.888086,465778.854583,0.200096,oscillation,338,3.3800,100,1,5,4000
2026-04-23T12:17:28.908080,465778.874554,0.220067,oscillation,346,3.4600,100,1,5,4000
2026-04-23T12:17:28.928068,465778.894551,0.240064,oscillation,353,3.5300,100,1,5,4000
2026-04-23T12:17:28.948077,465778.914578,0.260090,oscillation,359,3.5900,100,1,5,4000
2026-04-23T12:17:28.968104,465778.934584,0.280097,oscillation,366,3.6600,100,1,5,4000
2026-04-23T12:17:28.988115,465778.954584,0.300097,oscillation,371,3.7100,100,1,5,4000
2026-04-23T12:17:29.008071,465778.974554,0.320066,oscillation,377,3.7700,100,1,5,4000
2026-04-23T12:17:29.028097,465778.994579,0.340092,oscillation,381,3.8100,100,1,5,4000
2026-04-23T12:17:29.048096,465779.014574,0.360087,oscillation,386,3.8600,100,1,5,4000
2026-04-23T12:17:29.068079,465779.034574,0.380087,oscillation,389,3.8900,100,1,5,4000
2026-04-23T12:17:29.088171,465779.054583,0.400096,oscillation,393,3.9300,100,1,5,4000
2026-04-23T12:17:29.108227,465779.074660,0.420173,oscillation,395,3.9500,100,1,5,4000
2026-04-23T12:17:29.128158,465779.094559,0.440071,oscillation,397,3.9700,100,1,5,4000
2026-04-23T12:17:29.148327,465779.114571,0.460084,oscillation,399,3.9900,100,1,5,4000
2026-04-23T12:17:29.168317,465779.134675,0.480188,oscillation,400,4.0000,100,1,5,4000
2026-04-23T12:17:29.188085,465779.154605,0.500118,oscillation,400,4.0000,100,1,5,4000
2026-04-23T12:17:29.208215,465779.174663,0.520175,oscillation,400,4.0000,100,1,5,4000
2026-04-23T12:17:29.228393,465779.194576,0.540089,oscillation,399,3.9900,100,1,5,4000
2026-04-23T12:17:29.248249,465779.214574,0.560086,oscillation,397,3.9700,100,1,5,4000
2026-04-23T12:17:29.268258,465779.234590,0.580103,oscillation,395,3.9500,100,1,5,4000
2026-04-23T12:17:29.288231,465779.254593,0.600106,oscillation,393,3.9300,100,1,5,4000
2026-04-23T12:17:29.308303,465779.274581,0.620094,oscillation,389,3.8900,100,1,5,4000
2026-04-23T12:17:29.328404,465779.294693,0.640205,oscillation,386,3.8600,100,1,5,4000
2026-04-23T12:17:29.348211,465779.314627,0.660140,oscillation,381,3.8100,100,1,5,4000
2026-04-23T12:17:29.368228,465779.334595,0.680107,oscillation,377,3.7700,100,1,5,4000
2026-04-23T12:17:29.388249,465779.354574,0.700087,oscillation,371,3.7100,100,1,5,4000
2026-04-23T12:17:29.408357,465779.374684,0.720196,oscillation,366,3.6600,100,1,5,4000
2026-04-23T12:17:29.428148,465779.394581,0.740093,oscillation,359,3.5900,100,1,5,4000
2026-04-23T12:17:29.448238,465779.414655,0.760168,oscillation,353,3.5300,100,1,5,4000
2026-04-23T12:17:29.468068,465779.434581,0.780094,oscillation,346,3.4600,100,1,5,4000
2026-04-23T12:17:29.488147,465779.454588,0.800101,oscillation,338,3.3800,100,1,5,4000
2026-04-23T12:17:29.508235,465779.474653,0.820166,oscillation,330,3.3000,100,1,5,4000
2026-04-23T12:17:29.528237,465779.494587,0.840100,oscillation,322,3.2200,100,1,5,4000
2026-04-23T12:17:29.548156,465779.514579,0.860092,oscillation,314,3.1400,100,1,5,4000
2026-04-23T12:17:29.568335,465779.534595,0.880107,oscillation,305,3.0500,100,1,5,4000
2026-04-23T12:17:29.588219,465779.554589,0.900101,oscillation,296,2.9600,100,1,5,4000
2026-04-23T12:17:29.608158,465779.574584,0.920097,oscillation,287,2.8700,100,1,5,4000
2026-04-23T12:17:29.628149,465779.594583,0.940095,oscillation,278,2.7800,100,1,5,4000
2026-04-23T12:17:29.648258,465779.614583,0.960095,oscillation,269,2.6900,100,1,5,4000
2026-04-23T12:17:29.668374,465779.634602,0.980115,oscillation,259,2.5900,100,1,5,4000
2026-04-23T12:17:29.688225,465779.654598,1.000111,oscillation,250,2.5000,100,1,5,4000
2026-04-23T12:17:29.708172,465779.674589,1.020101,oscillation,241,2.4100,100,1,5,4000
2026-04-23T12:17:29.728218,465779.694575,1.040088,oscillation,231,2.3100,100,1,5,4000
2026-04-23T12:17:29.748142,465779.714584,1.060097,oscillation,222,2.2200,100,1,5,4000
2026-04-23T12:17:29.768084,465779.734586,1.080098,oscillation,213,2.1300,100,1,5,4000
2026-04-23T12:17:29.788088,465779.754596,1.100108,oscillation,204,2.0400,100,1,5,4000
2026-04-23T12:17:29.808141,465779.774597,1.120110,oscillation,195,1.9500,100,1,5,4000
2026-04-23T12:17:29.828150,465779.794586,1.140098,oscillation,186,1.8600,100,1,5,4000
2026-04-23T12:17:29.848144,465779.814586,1.160099,oscillation,178,1.7800,100,1,5,4000
2026-04-23T12:17:29.868152,465779.834593,1.180105,oscillation,170,1.7000,100,1,5,4000
2026-04-23T12:17:29.888167,465779.854598,1.200111,oscillation,162,1.6200,100,1,5,4000
2026-04-23T12:17:29.908435,465779.874699,1.220212,oscillation,154,1.5400,100,1,5,4000
2026-04-23T12:17:29.928371,465779.894582,1.240095,oscillation,147,1.4700,100,1,5,4000
