wall_time_iso,monotonic_s,t_elapsed_s,mode,distance_cm,distance_m,signal_quality,covariance,min_cm,max_cm
2026-04-23T12:19:16.854540,465886.820018,0.000005,noisy,329,3.2900,100,1,5,4000
2026-04-23T12:19:16.873674,465886.840134,0.020122,noisy,269,2.6900,100,1,5,4000
2026-04-23T12:19:16.893633,465886.860140,0.040128,noisy,232,2.3200,100,1,5,4000
2026-04-23T12:19:16.913610,465886.880103,0.060091,noisy,282,2.8200,100,1,5,4000
2026-04-23T12:19:16.933659,465886.900166,0.080154,noisy,271,2.7100,100,1,5,4000
2026-04-23T12:19:16.953674,465886.920168,0.100156,noisy,274,2.7400,100,1,5,4000
2026-04-23T12:19:16.973695,465886.940168,0.120156,noisy,288,2.8800,100,1,5,4000
2026-04-23T12:19:16.993657,465886.960158,0.140146,noisy,225,2.2500,100,1,5,4000
2026-04-23T12:19:17.013652,465886.980154,0.160141,noisy,223,2.2300,100,1,5,4000
2026-04-23T12:19:17.033689,465887.000160,0.180148,noisy,231,2.3100,100,1,5,4000
2026-04-23T12:19:17.053805,465887.020166,0.200153,noisy,167,1.6700,100,1,5,4000
2026-04-23T12:19:17.073724,465887.040137,0.220125,noisy,247,2.4700,100,1,5,4000
2026-04-23T12:19:17.093747,465887.060150,0.240138,noisy,164,1.6400,100,1,5,4000
2026-04-23T12:19:17.113846,465887.080178,0.260166,noisy,242,2.4200,100,1,5,4000
2026-04-23T12:19:17.133759,465887.100160,0.280148,noisy,267,2.6700,100,1,5,4000
2026-04-23T12:19:17.153739,465887.120165,0.300152,noisy,211,2.1100,100,1,5,4000
2026-04-23T12:19:17.173647,465887.140146,0.320134,noisy,226,2.2600,100,1,5,4000
2026-04-23T12:19:17.193672,465887.160176,0.340164,noisy,279,2.7900,100,1,5,4000
2026-04-23T12:19:17.213644,465887.180082,0.360070,noisy,180,1.8000,100,1,5,4000
2026-04-23T12:19:17.233718,465887.200167,0.380155,noisy,243,2.4300,100,1,5,4000
