wall_time_iso,monotonic_s,t_elapsed_s,mode,distance_cm,distance_m,signal_quality,covariance,min_cm,max_cm
2026-04-23T12:21:41.387313,466031.352758,0.000004,spike,251,2.5100,100,1,5,4000
2026-04-23T12:21:41.406358,466031.372855,0.020102,spike,251,2.5100,100,1,5,4000
2026-04-23T12:21:41.426349,466031.392847,0.040094,spike,249,2.4900,100,1,5,4000
2026-04-23T12:21:41.446355,466031.412844,0.060090,spike,250,2.5000,100,1,5,4000
2026-04-23T12:21:41.466373,466031.432845,0.080091,spike,252,2.5200,100,1,5,4000
2026-04-23T12:21:41.486342,466031.452820,0.100067,spike,250,2.5000,100,1,5,4000
2026-04-23T12:21:41.506378,466031.472861,0.120108,spike,250,2.5000,100,1,5,4000
2026-04-23T12:21:41.526389,466031.492856,0.140102,spike,251,2.5100,100,1,5,4000
2026-04-23T12:21:41.546382,466031.512853,0.160100,spike,250,2.5000,100,1,5,4000
2026-04-23T12:21:41.566413,466031.532848,0.180095,spike,250,2.5000,100,1,5,4000
2026-04-23T12:21:41.586559,466031.552987,0.200233,spike,249,2.4900,100,1,5,4000
2026-04-23T12:21:41.606445,466031.572916,0.220162,spike,250,2.5000,100,1,5,4000
2026-04-23T12:21:41.626553,466031.592927,0.240173,spike,250,2.5000,100,1,5,4000
2026-04-23T12:21:41.646537,466031.612935,0.260181,spike,251,2.5100,100,1,5,4000
2026-04-23T12:21:41.666579,466031.632938,0.280184,spike,251,2.5100,100,1,5,4000
2026-04-23T12:21:41.686697,466031.652944,0.300190,spike,249,2.4900,100,1,5,4000
2026-04-23T12:21:41.706624,466031.672943,0.320189,spike,251,2.5100,100,1,5,4000
2026-04-23T12:21:41.726531,466031.692931,0.340177,spike,249,2.4900,100,1,5,4000
2026-04-23T12:21:41.746592,466031.712937,0.360183,spike,248,2.4800,100,1,5,4000
2026-04-23T12:21:41.766530,466031.732936,0.380182,spike,251,2.5100,100,1,5,4000
2026-04-23T12:21:41.786311,466031.752817,0.400063,spike,251,2.5100,100,1,5,4000
2026-04-23T12:21:41.806443,466031.772934,0.420180,spike,251,2.5100,100,1,5,4000
2026-04-23T12:21:41.826489,466031.792925,0.440171,spike,250,2.5000,100,1,5,4000
2026-04-23T12:21:41.846584,466031.812939,0.460185,spike,250,2.5000,100,1,5,4000
2026-04-23T12:21:41.866740,466031.832983,0.480229,spike,251,2.5100,100,1,5,4000
2026-04-23T12:21:41.886589,466031.852937,0.500184,spike,251,2.5100,100,1,5,4000
2026-04-23T12:21:41.906521,466031.872858,0.520105,spike,251,2.5100,100,1,5,4000
2026-04-23T12:21:41.926603,466031.892928,0.540175,spike,249,2.4900,100,1,5,4000
2026-04-23T12:21:41.946641,466031.912933,0.560179,spike,248,2.4800,100,1,5,4000
2026-04-23T12:21:41.966488,466031.932896,0.580142,spike,250,2.5000,100,1,5,4000
2026-04-23T12:21:41.986403,466031.952851,0.600098,spike,0,0.0000,0,255,5,4000
2026-04-23T12:21:42.006412,466031.972843,0.620089,spike,4000,40.0000,100,1,5,4000
2026-04-23T12:21:42.026455,466031.992853,0.640099,spike,250,2.5000,100,1,5,4000
2026-04-23T12:21:42.046692,466032.012948,0.660194,spike,249,2.4900,100,1,5,4000
2026-04-23T12:21:42.066525,466032.032946,0.680192,spike,249,2.4900,100,1,5,4000
