wall_time_iso,monotonic_s,t_elapsed_s,mode,distance_cm,distance_m,signal_quality,covariance,min_cm,max_cm
2026-04-28T16:51:47.472604,541874.657476,0.000026,drift,250,2.5000,100,1,5,4000
2026-04-28T16:51:47.491457,541874.677513,0.020064,drift,250,2.5000,100,1,5,4000
2026-04-28T16:51:47.511543,541874.697624,0.040175,drift,250,2.5000,100,1,5,4000
2026-04-28T16:51:47.531569,541874.717615,0.060166,drift,250,2.5000,100,1,5,4000
2026-04-28T16:51:47.551636,541874.737605,0.080156,drift,250,2.5000,100,1,5,4000
2026-04-28T16:51:47.571622,541874.757619,0.100170,drift,251,2.5100,100,1,5,4000
2026-04-28T16:51:47.591652,541874.777643,0.120194,drift,251,2.5100,100,1,5,4000
2026-04-28T16:51:47.611697,541874.797638,0.140189,drift,251,2.5100,100,1,5,4000
2026-04-28T16:51:47.631650,541874.817639,0.160190,drift,251,2.5100,100,1,5,4000
2026-04-28T16:51:47.651429,541874.837517,0.180067,drift,251,2.5100,100,1,5,4000
2026-04-28T16:51:47.671665,541874.857645,0.200196,drift,251,2.5100,100,1,5,4000
2026-04-28T16:51:47.691654,541874.877627,0.220177,drift,251,2.5100,100,1,5,4000
2026-04-28T16:51:47.711613,541874.897550,0.240101,drift,251,2.5100,100,1,5,4000
2026-04-28T16:51:47.731710,541874.917658,0.260208,drift,251,2.5100,100,1,5,4000
2026-04-28T16:51:47.751564,541874.937542,0.280093,drift,251,2.5100,100,1,5,4000
2026-04-28T16:51:47.771679,541874.957544,0.300095,drift,252,2.5200,100,1,5,4000
2026-04-28T16:51:47.791648,541874.977540,0.320091,drift,252,2.5200,100,1,5,4000
2026-04-28T16:51:47.811593,541874.997531,0.340081,drift,252,2.5200,100,1,5,4000
2026-04-28T16:51:47.831536,541875.017529,0.360080,drift,252,2.5200,100,1,5,4000
2026-04-28T16:51:47.851575,541875.037531,0.380082,drift,252,2.5200,100,1,5,4000
2026-04-28T16:51:47.871701,541875.057547,0.400098,drift,252,2.5200,100,1,5,4000
2026-04-28T16:51:47.891791,541875.077564,0.420114,drift,252,2.5200,100,1,5,4000
2026-04-28T16:51:47.911548,541875.097535,0.440086,drift,252,2.5200,100,1,5,4000
2026-04-28T16:51:47.931574,541875.117536,0.460087,drift,252,2.5200,100,1,5,4000
2026-04-28T16:51:47.951692,541875.137554,0.480105,drift,252,2.5200,100,1,5,4000
2026-04-28T16:51:47.971949,541875.157630,0.500181,drift,253,2.5300,100,1,5,4000
2026-04-28T16:51:47.991547,541875.177533,0.520083,drift,253,2.5300,100,1,5,4000
2026-04-28T16:51:48.011546,541875.197529,0.540079,drift,253,2.5300,100,1,5,4000
2026-04-28T16:51:48.031622,541875.217549,0.560100,drift,253,2.5300,100,1,5,4000
2026-04-28T16:51:48.051647,541875.237549,0.580099,drift,253,2.5300,100,1,5,4000
2026-04-28T16:51:48.071613,541875.257538,0.600089,drift,253,2.5300,100,1,5,4000
2026-04-28T16:51:48.091589,541875.277576,0.620127,drift,253,2.5300,100,1,5,4000
2026-04-28T16:51:48.111546,541875.297531,0.640081,drift,253,2.5300,100,1,5,4000
2026-04-28T16:51:48.131675,541875.317543,0.660094,drift,253,2.5300,100,1,5,4000
2026-04-28T16:51:48.151593,541875.337538,0.680089,drift,253,2.5300,100,1,5,4000
2026-04-28T16:51:48.171535,541875.357559,0.700110,drift,254,2.5400,100,1,5,4000
2026-04-28T16:51:48.191588,541875.377562,0.720112,drift,254,2.5400,100,1,5,4000
2026-04-28T16:51:48.211610,541875.397549,0.740100,drift,254,2.5400,100,1,5,4000
2026-04-28T16:51:48.231646,541875.417551,0.760101,drift,254,2.5400,100,1,5,4000
2026-04-28T16:51:48.251528,541875.437528,0.780079,drift,254,2.5400,100,1,5,4000
2026-04-28T16:51:48.271551,541875.457530,0.800081,drift,254,2.5400,100,1,5,4000
2026-04-28T16:51:48.291576,541875.477536,0.820087,drift,254,2.5400,100,1,5,4000
2026-04-28T16:51:48.311660,541875.497547,0.840098,drift,254,2.5400,100,1,5,4000
2026-04-28T16:51:48.331647,541875.517564,0.860115,drift,254,2.5400,100,1,5,4000
2026-04-28T16:51:48.351646,541875.537640,0.880191,drift,254,2.5400,100,1,5,4000
2026-04-28T16:51:48.371613,541875.557647,0.900198,drift,255,2.5500,100,1,5,4000
2026-04-28T16:51:48.391666,541875.577617,0.920168,drift,255,2.5500,100,1,5,4000
2026-04-28T16:51:48.411623,541875.597623,0.940174,drift,255,2.5500,100,1,5,4000
2026-04-28T16:51:48.431601,541875.617598,0.960149,drift,255,2.5500,100,1,5,4000
2026-04-28T16:51:48.451598,541875.637569,0.980119,drift,255,2.5500,100,1,5,4000
2026-04-28T16:51:48.471597,541875.657550,1.000101,drift,255,2.5500,100,1,5,4000
2026-04-28T16:51:48.491865,541875.677649,1.020200,drift,255,2.5500,100,1,5,4000
