wall_time_iso,monotonic_s,t_elapsed_s,mode,countermeasure,raw_distance_cm,raw_distance_m,raw_signal_quality,filtered_distance_cm,filtered_distance_m,filtered_signal_quality,covariance,countermeasure_action,min_cm,max_cm
2026-05-10T00:33:55.672190,45731.805193,0.000012,oscillation,robust_fallback,250,2.5000,100,250,2.5000,100,1,median_filtered,5,4000
2026-05-10T00:33:55.691254,45731.825277,0.020096,oscillation,robust_fallback,259,2.5900,100,254,2.5400,100,1,median_filtered,5,4000
2026-05-10T00:33:55.711275,45731.845364,0.040183,oscillation,robust_fallback,269,2.6900,100,259,2.5900,100,1,median_filtered,5,4000
2026-05-10T00:33:55.731349,45731.865359,0.060179,oscillation,robust_fallback,278,2.7800,100,264,2.6400,100,1,median_filtered,5,4000
2026-05-10T00:33:55.751503,45731.885367,0.080187,oscillation,robust_fallback,287,2.8700,100,269,2.6900,100,1,median_filtered,5,4000
2026-05-10T00:33:55.771601,45731.905391,0.100210,oscillation,robust_fallback,296,2.9600,100,278,2.7800,100,1,median_filtered,5,4000
2026-05-10T00:33:55.791450,45731.925362,0.120181,oscillation,robust_fallback,305,3.0500,100,287,2.8700,100,1,median_filtered,5,4000
2026-05-10T00:33:55.811403,45731.945355,0.140174,oscillation,robust_fallback,314,3.1400,100,296,2.9600,100,1,median_filtered,5,4000
2026-05-10T00:33:55.831645,45731.965389,0.160208,oscillation,robust_fallback,322,3.2200,100,305,3.0500,100,1,median_filtered,5,4000
2026-05-10T00:33:55.851678,45731.985405,0.180224,oscillation,robust_fallback,330,3.3000,100,314,3.1400,100,1,median_filtered,5,4000
2026-05-10T00:33:55.871402,45732.005352,0.200172,oscillation,robust_fallback,338,3.3800,100,322,3.2200,100,1,median_filtered,5,4000
2026-05-10T00:33:55.891318,45732.025278,0.220098,oscillation,robust_fallback,346,3.4600,100,330,3.3000,100,1,median_filtered,5,4000
2026-05-10T00:33:55.911430,45732.045358,0.240178,oscillation,robust_fallback,353,3.5300,100,338,3.3800,100,1,median_filtered,5,4000
2026-05-10T00:33:55.931604,45732.065391,0.260210,oscillation,robust_fallback,359,3.5900,100,346,3.4600,100,1,median_filtered,5,4000
2026-05-10T00:33:55.951473,45732.085364,0.280184,oscillation,robust_fallback,366,3.6600,100,353,3.5300,100,1,median_filtered,5,4000
2026-05-10T00:33:55.971402,45732.105361,0.300180,oscillation,robust_fallback,371,3.7100,100,359,3.5900,100,1,median_filtered,5,4000
2026-05-10T00:33:55.991420,45732.125354,0.320173,oscillation,robust_fallback,377,3.7700,100,366,3.6600,100,1,median_filtered,5,4000
2026-05-10T00:33:56.011498,45732.145314,0.340133,oscillation,robust_fallback,381,3.8100,100,371,3.7100,100,1,median_filtered,5,4000
2026-05-10T00:33:56.031326,45732.165287,0.360106,oscillation,robust_fallback,386,3.8600,100,377,3.7700,100,1,median_filtered,5,4000
2026-05-10T00:33:56.051428,45732.185362,0.380181,oscillation,robust_fallback,389,3.8900,100,381,3.8100,100,1,median_filtered,5,4000
2026-05-10T00:33:56.071456,45732.205369,0.400189,oscillation,robust_fallback,393,3.9300,100,386,3.8600,100,1,median_filtered,5,4000
2026-05-10T00:33:56.091695,45732.225396,0.420215,oscillation,robust_fallback,395,3.9500,100,389,3.8900,100,1,median_filtered,5,4000
2026-05-10T00:33:56.111545,45732.245383,0.440202,oscillation,robust_fallback,397,3.9700,100,393,3.9300,100,1,median_filtered,5,4000
2026-05-10T00:33:56.131601,45732.265382,0.460201,oscillation,robust_fallback,399,3.9900,100,395,3.9500,100,1,median_filtered,5,4000
2026-05-10T00:33:56.151522,45732.285387,0.480206,oscillation,robust_fallback,400,4.0000,100,397,3.9700,100,1,median_filtered,5,4000
2026-05-10T00:33:56.171585,45732.305382,0.500201,oscillation,robust_fallback,400,4.0000,100,399,3.9900,100,1,median_filtered,5,4000
2026-05-10T00:33:56.193030,45732.325841,0.520660,oscillation,robust_fallback,400,4.0000,100,400,4.0000,100,1,median_filtered,5,4000
2026-05-10T00:33:56.211435,45732.345405,0.540224,oscillation,robust_fallback,399,3.9900,100,400,4.0000,100,1,median_filtered,5,4000
2026-05-10T00:33:56.231467,45732.365373,0.560193,oscillation,robust_fallback,397,3.9700,100,400,4.0000,100,1,median_filtered,5,4000
