wall_time_iso,monotonic_s,t_elapsed_s,true_altitude_m,reported_lidar_m,lidar_quality,ekf_altitude_m,vertical_velocity_mps,last_statustext
2026-05-10T21:29:07.119296,9588.348197,0.506062,2.4859,,,2.4858,-0.0019,
2026-05-10T21:29:07.623537,9588.852438,1.010161,2.4860,,,2.4858,-0.0047,
2026-05-10T21:29:08.127351,9589.356260,1.514106,2.4852,,,2.4851,-0.0002,
2026-05-10T21:29:08.627355,9589.856259,2.014124,2.4864,,,2.4851,-0.0007,
2026-05-10T21:29:09.127580,9590.356476,2.514367,2.4856,,,2.4858,-0.0022,
2026-05-10T21:29:09.635025,9590.863922,3.021811,2.4854,,,2.4858,-0.0001,
2026-05-10T21:29:10.135166,9591.364070,3.521907,2.4841,,,2.4844,-0.0022,
2026-05-10T21:29:10.639052,9591.867953,4.025832,2.4818,,,2.4844,-0.0028,
2026-05-10T21:29:11.139181,9592.368082,4.525958,2.4797,,,2.4799,0.0024,
2026-05-10T21:29:11.639309,9592.868210,5.026083,2.4789,,,2.4799,0.0040,
2026-05-10T21:29:12.147089,9593.375989,5.533871,2.4777,,,2.4778,0.0054,
2026-05-10T21:29:12.647608,9593.876525,6.034348,2.4781,,,2.4778,0.0053,
2026-05-10T21:29:13.150939,9594.379832,6.537727,2.4781,,,2.4775,0.0064,
2026-05-10T21:29:13.654932,9594.883829,7.041718,2.4810,,,2.4775,0.0041,
2026-05-10T21:29:14.155034,9595.383933,7.541820,2.4799,,,2.4803,0.0039,
2026-05-10T21:29:14.655064,9595.883959,8.041843,2.4797,,,2.4803,0.0033,
