wall_time_iso,monotonic_s,t_elapsed_s,true_altitude_m,reported_lidar_m,lidar_quality,ekf_altitude_m,vertical_velocity_mps,last_statustext
2026-05-10T21:58:47.659184,11368.888089,0.502473,2.4756,,,2.4753,0.0075,
2026-05-10T21:58:48.159473,11369.388375,1.002675,2.4762,,,2.4753,0.0087,
2026-05-10T21:58:48.662924,11369.891819,1.506257,2.4778,,,2.4773,0.0052,
2026-05-10T21:58:49.163048,11370.391945,2.006389,2.4783,,,2.4773,0.0035,
2026-05-10T21:58:49.667180,11370.896185,2.510473,2.4819,,,2.4806,0.0022,
2026-05-10T21:58:50.170771,11371.399662,3.014080,2.4852,,,2.4806,-0.0000,
2026-05-10T21:58:50.671441,11371.900348,3.514751,2.4899,,,2.4885,-0.0036,
2026-05-10T21:58:51.174957,11372.403851,4.018249,2.4908,,,2.4885,-0.0052,
2026-05-10T21:58:51.679534,11372.908442,4.522846,2.4928,,,2.4923,-0.0075,
2026-05-10T21:58:52.183199,11373.412096,5.026533,2.4919,,,2.4923,-0.0095,
2026-05-10T21:58:52.687543,11373.916451,5.530855,2.4898,,,2.4904,-0.0071,
2026-05-10T21:58:53.190266,11374.419154,6.033617,2.4887,2.5000,100,2.4904,-0.0048,
2026-05-10T21:58:53.694821,11374.923717,6.538159,2.4872,2.5000,100,2.4879,-0.0049,
2026-05-10T21:58:54.194827,11375.423723,7.038162,2.4857,2.5000,100,2.4879,-0.0022,
2026-05-10T21:58:54.695469,11375.924382,7.538771,2.4854,2.5000,100,2.4858,-0.0031,
2026-05-10T21:58:55.199036,11376.427934,8.042369,2.4840,2.4900,100,2.4858,-0.0036,
2026-05-10T21:58:55.707522,11376.936436,8.550821,2.4829,2.4900,100,2.4833,-0.0003,
2026-05-10T21:58:56.215231,11377.444133,9.058554,2.4839,2.4900,100,2.4833,-0.0005,
2026-05-10T21:58:56.715235,11377.944129,9.558578,2.4851,2.4900,100,2.4846,-0.0006,
2026-05-10T21:58:57.219150,11378.448046,10.062463,2.4844,2.4900,100,2.4846,-0.0012,
2026-05-10T21:58:57.727102,11378.955999,10.570436,2.4827,2.4900,100,2.4832,0.0012,
2026-05-10T21:58:58.227227,11379.456135,11.070546,2.4829,2.4900,100,2.4832,-0.0002,
2026-05-10T21:58:58.727241,11379.956142,11.570568,2.4818,2.4900,100,2.4822,0.0001,
2026-05-10T21:58:59.235261,11380.464163,12.078584,2.4819,2.4900,100,2.4822,0.0030,
2026-05-10T21:58:59.735332,11380.964231,12.578660,2.4824,2.4900,100,2.4824,0.0025,
2026-05-10T21:59:00.239224,11381.468125,13.082548,2.4842,2.4900,100,2.4824,0.0012,
2026-05-10T21:59:00.739341,11381.968239,13.582669,2.4875,2.4900,100,2.4862,-0.0023,
2026-05-10T21:59:01.239379,11382.468276,14.082710,2.4876,2.5000,100,2.4862,-0.0040,
2026-05-10T21:59:01.739478,11382.968378,14.582806,2.4872,2.5000,100,2.4879,-0.0052,
2026-05-10T21:59:02.239807,11383.468710,15.083111,2.4883,2.5000,100,2.4879,-0.0026,
2026-05-10T21:59:02.743345,11383.972243,15.586676,2.4893,2.5000,100,2.4888,-0.0035,
2026-05-10T21:59:03.247223,11384.476122,16.090552,2.4897,2.5100,100,2.4888,-0.0071,
2026-05-10T21:59:03.747310,11384.976209,16.590640,2.4884,2.5100,100,2.4889,-0.0064,
2026-05-10T21:59:04.247503,11385.476398,17.090839,2.4879,2.5100,100,2.4889,-0.0051,
2026-05-10T21:59:04.747565,11385.976472,17.590877,2.4885,2.5100,100,2.4884,-0.0037,
2026-05-10T21:59:05.255271,11386.484170,18.098600,2.4901,2.5000,100,2.4884,-0.0042,
2026-05-10T21:59:05.759220,11386.988122,18.602543,2.4899,2.5000,100,2.4905,-0.0080,
2026-05-10T21:59:06.263257,11387.492172,19.106560,2.4888,2.5000,100,2.4905,-0.0075,
2026-05-10T21:59:06.767207,11387.996108,19.610528,2.4879,2.5000,100,2.4881,-0.0044,
2026-05-10T21:59:07.267368,11388.496266,20.110692,2.4894,2.5000,100,2.4881,-0.0044,
2026-05-10T21:59:07.771096,11388.999996,20.614426,2.4879,2.5000,100,2.4883,-0.0048,
2026-05-10T21:59:08.274768,11389.503664,21.118104,2.4891,2.5000,100,2.4883,-0.0039,
2026-05-10T21:59:08.775414,11390.004317,21.618736,2.4910,2.5000,100,2.4900,-0.0040,
2026-05-10T21:59:09.279237,11390.508148,22.122548,2.4898,2.4900,100,2.4900,-0.0084,
2026-05-10T21:59:09.779235,11391.008135,22.622562,2.4889,2.4900,100,2.4894,-0.0073,
2026-05-10T21:59:10.283064,11391.511967,23.126389,2.4870,2.4900,100,2.4894,-0.0037,
2026-05-10T21:59:10.791386,11392.020294,23.634697,2.4836,2.4900,100,2.4850,-0.0017,
2026-05-10T21:59:11.295245,11392.524145,24.138572,2.4830,2.5000,100,2.4850,0.0014,
2026-05-10T21:59:11.798977,11393.027875,24.642311,2.4826,2.5000,100,2.4831,0.0008,
2026-05-10T21:59:12.299211,11393.528108,25.142545,2.4814,2.5000,100,2.4831,0.0038,
2026-05-10T21:59:12.803417,11394.032320,25.646738,2.4823,2.5000,100,2.4817,0.0001,
2026-05-10T21:59:13.306567,11394.535463,26.149908,2.4834,2.5100,100,2.4817,-0.0017,
2026-05-10T21:59:13.807223,11395.036126,26.650551,2.4826,2.5100,100,2.4828,0.0013,
2026-05-10T21:59:14.311416,11395.540322,27.154732,2.4839,2.5100,100,2.4828,0.0011,
2026-05-10T21:59:14.819474,11396.048380,27.662790,2.4833,2.5100,100,2.4834,0.0023,
2026-05-10T21:59:15.319484,11396.548389,28.162801,2.4824,2.5100,100,2.4834,-0.0006,
2026-05-10T21:59:15.823343,11397.052246,28.666471,2.4818,2.5100,100,2.4821,0.0013,
2026-05-10T21:59:16.323244,11397.552143,29.166574,2.4810,2.5100,100,2.4821,0.0027,
2026-05-10T21:59:16.830857,11398.059753,29.674199,2.4811,2.5100,100,2.4813,-0.0005,
2026-05-10T21:59:17.331630,11398.560540,30.174940,2.4821,2.4900,100,2.4813,0.0023,
2026-05-10T21:59:17.831641,11399.060551,30.674951,2.4839,2.4900,100,2.4831,0.0011,
2026-05-10T21:59:18.335420,11399.564321,31.178747,2.4827,2.4900,100,2.4831,-0.0015,
2026-05-10T21:59:18.835531,11400.064434,31.678854,2.4837,2.4900,100,2.4824,0.0015,
2026-05-10T21:59:19.339069,11400.567969,32.182397,2.4846,2.5000,100,2.4824,0.0001,
2026-05-10T21:59:19.839102,11401.068021,32.682432,2.4840,2.5000,100,2.4844,-0.0007,
2026-05-10T21:59:20.339356,11401.568262,33.182674,2.4828,2.5000,100,2.4844,-0.0028,
2026-05-10T21:59:20.839375,11402.068281,33.682691,2.4843,2.5000,100,2.4832,-0.0016,
2026-05-10T21:59:21.343335,11402.572243,34.186639,2.4864,2.5100,100,2.4832,-0.0016,
2026-05-10T21:59:21.843323,11403.072226,34.686648,2.4886,2.5100,100,2.4875,-0.0035,
2026-05-10T21:59:22.343484,11403.572382,35.186815,2.4895,2.5100,100,2.4875,-0.0076,
2026-05-10T21:59:22.846860,11404.075765,35.690180,2.4902,2.5100,100,2.4894,-0.0058,
2026-05-10T21:59:23.351548,11404.580451,36.194872,2.4915,2.5000,100,2.4894,-0.0085,
2026-05-10T21:59:23.851634,11405.080537,36.694952,2.4901,2.5000,100,2.4911,-0.0088,
2026-05-10T21:59:24.351667,11405.580573,37.194983,2.4897,2.5000,100,2.4911,-0.0056,
2026-05-10T21:59:24.854764,11406.083659,37.698106,2.4911,2.5000,100,2.4906,-0.0058,
