wall_time_iso,monotonic_s,t_elapsed_s,true_altitude_m,reported_lidar_m,lidar_quality,ekf_altitude_m,vertical_velocity_mps,last_statustext
2026-05-10T22:14:41.055372,12322.284280,0.501279,2.4928,,,2.4924,-0.0088,
2026-05-10T22:14:41.563067,12322.791963,1.009003,2.4922,,,2.4924,-0.0076,
2026-05-10T22:14:42.063192,12323.292090,1.509128,2.4896,,,2.4921,-0.0096,
2026-05-10T22:14:42.563596,12323.792503,2.009513,2.4858,,,2.4921,-0.0048,
2026-05-10T22:14:43.067394,12324.296292,2.513323,2.4826,,,2.4855,-0.0007,
2026-05-10T22:14:43.570893,12324.799786,3.016836,2.4808,,,2.4855,0.0014,
2026-05-10T22:14:44.071088,12325.299984,3.517028,2.4832,,,2.4809,0.0042,
2026-05-10T22:14:44.574964,12325.803860,4.020901,2.4835,,,2.4809,0.0011,
2026-05-10T22:14:45.075294,12326.304197,4.521209,2.4836,,,2.4834,-0.0012,
2026-05-10T22:14:45.578912,12326.807809,5.024849,2.4838,,,2.4834,0.0002,
2026-05-10T22:14:46.082556,12327.311446,5.528507,2.4856,,,2.4839,-0.0004,
2026-05-10T22:14:46.590615,12327.819503,6.036572,2.4828,0.5000,100,2.4839,-0.0015,
2026-05-10T22:14:47.091385,12328.320284,6.537319,2.4808,0.5000,100,2.4827,0.0017,
2026-05-10T22:14:47.595398,12328.824293,7.041336,2.4785,0.5000,100,2.4827,0.0055,
2026-05-10T22:14:48.095731,12329.324637,7.541644,2.4764,0.5000,100,2.4785,0.0046,
2026-05-10T22:14:48.602557,12329.831446,8.048511,2.4744,0.5000,100,2.4785,0.0085,
2026-05-10T22:14:49.103164,12330.332059,8.549071,2.4731,0.5000,100,2.4743,0.0086,
2026-05-10T22:14:49.607422,12330.836323,9.053350,2.4706,0.5000,100,2.4743,0.0115,
2026-05-10T22:14:50.107556,12331.336460,9.553475,2.4736,0.5000,100,2.4706,0.0117,
2026-05-10T22:14:50.615192,12331.844094,10.061116,2.4781,0.5000,100,2.4706,0.0088,
2026-05-10T22:14:51.115262,12332.344162,10.561194,2.4802,0.5000,100,2.4783,0.0044,
2026-05-10T22:14:51.615328,12332.844229,11.061258,2.4800,0.5000,100,2.4783,0.0017,
2026-05-10T22:14:52.118908,12333.347809,11.564838,2.4805,0.5000,100,2.4799,0.0013,
2026-05-10T22:14:52.623182,12333.852082,12.069077,2.4809,0.5000,100,2.4799,0.0020,
2026-05-10T22:14:53.123473,12334.352377,12.569392,2.4830,0.5000,100,2.4810,0.0018,
2026-05-10T22:14:53.627424,12334.856325,13.073352,2.4846,0.5000,100,2.4810,-0.0022,
2026-05-10T22:14:54.127436,12335.356341,13.573357,2.4854,0.5000,100,2.4847,-0.0029,
2026-05-10T22:14:54.635171,12335.864069,14.081077,2.4857,0.5000,100,2.4847,-0.0021,
2026-05-10T22:14:55.135446,12336.364343,14.581379,2.4881,0.5000,100,2.4857,-0.0011,
2026-05-10T22:14:55.639464,12336.868369,15.085379,2.4883,0.5000,100,2.4857,-0.0046,
2026-05-10T22:14:56.143429,12337.372333,15.589348,2.4832,0.5000,100,2.4879,-0.0041,
2026-05-10T22:14:56.646888,12337.875784,16.092828,2.4820,0.5000,100,2.4879,-0.0003,
2026-05-10T22:14:57.146923,12338.375822,16.592858,2.4834,0.5000,100,2.4821,-0.0000,
2026-05-10T22:14:57.647464,12338.876375,17.093372,2.4825,0.5000,100,2.4821,0.0015,
2026-05-10T22:14:58.150933,12339.379827,17.596877,2.4827,0.5000,100,2.4825,-0.0007,
2026-05-10T22:14:58.655161,12339.884057,18.101078,2.4812,0.5000,100,2.4825,0.0025,
2026-05-10T22:14:59.159021,12340.387921,18.604958,2.4809,0.5000,100,2.4811,0.0026,
2026-05-10T22:14:59.659317,12340.888222,19.105238,2.4842,0.5000,100,2.4811,0.0018,
2026-05-10T22:15:00.159429,12341.388326,19.605363,2.4869,0.5000,100,2.4844,-0.0012,
2026-05-10T22:15:00.662857,12341.891753,20.108797,2.4852,0.5000,100,2.4844,-0.0038,
2026-05-10T22:15:01.163296,12342.392193,20.609232,2.4845,0.5000,100,2.4851,-0.0021,
2026-05-10T22:15:01.666872,12342.895766,21.112816,2.4836,0.5000,100,2.4851,-0.0010,
2026-05-10T22:15:02.171190,12343.400092,21.617116,2.4807,0.5000,100,2.4834,0.0028,
