wall_time_iso,monotonic_s,t_elapsed_s,true_altitude_m,reported_lidar_m,lidar_quality,ekf_altitude_m,vertical_velocity_mps,last_statustext
2026-05-11T01:55:54.461327,20557.364013,0.507473,2.4922,,,2.4926,-0.0000,
2026-05-11T01:55:54.965062,20557.867733,1.011220,2.4923,,,2.4926,0.0020,
2026-05-11T01:55:55.465142,20558.367816,1.511299,2.4912,,,2.4917,0.0030,
2026-05-11T01:55:55.965509,20558.868183,2.011661,2.4925,,,2.4917,0.0023,
2026-05-11T01:55:56.480975,20559.383648,2.527133,2.4929,,,2.4926,-0.0000,
2026-05-11T01:55:56.981962,20559.884643,3.028100,2.4944,,,2.4926,0.0026,
2026-05-11T01:55:57.485187,20560.387859,3.531344,2.4981,,,2.4969,0.0004,
2026-05-11T01:55:57.985204,20560.887880,4.031350,2.5009,,,2.4969,-0.0028,
2026-05-11T01:55:58.485634,20561.388312,4.531761,2.5034,,,2.5027,-0.0050,
2026-05-11T01:55:58.989421,20561.892100,5.035560,2.5038,,,2.5027,-0.0110,
2026-05-11T01:55:59.489614,20562.392291,5.535761,2.5038,,,2.5036,-0.0116,
2026-05-11T01:56:00.005157,20562.907828,6.051319,2.5043,2.5000,100,2.5036,-0.0094,
2026-05-11T01:56:00.505190,20563.407866,6.551343,2.5050,2.5000,100,2.5050,-0.0078,
2026-05-11T01:56:01.005192,20563.907866,7.051345,2.5038,2.5000,100,2.5050,-0.0103,
2026-05-11T01:56:01.509183,20564.411857,7.555337,2.5005,2.5000,100,2.5022,-0.0085,
2026-05-11T01:56:02.009763,20564.912451,8.055893,2.4991,2.6000,100,2.5022,-0.0050,
2026-05-11T01:56:02.513166,20565.415840,8.559320,2.4970,2.6000,100,2.4978,-0.0049,
2026-05-11T01:56:03.013621,20565.916302,9.059760,2.4955,2.6000,100,2.4978,-0.0023,
2026-05-11T01:56:03.526131,20566.428821,9.572251,2.4947,2.6000,100,2.4950,-0.0003,
2026-05-11T01:56:04.029212,20566.931887,10.075363,2.4939,2.7000,100,2.4950,-0.0004,
2026-05-11T01:56:04.529453,20567.432134,10.575594,2.4936,2.7000,100,2.4930,0.0022,
2026-05-11T01:56:05.029698,20567.932380,11.075840,2.4936,2.7000,100,2.4930,-0.0012,
2026-05-11T01:56:05.533865,20568.436559,11.579979,2.4944,2.7000,100,2.4939,0.0028,
2026-05-11T01:56:06.041581,20568.944263,12.087718,2.4943,2.8000,100,2.4939,0.0028,
2026-05-11T01:56:06.541861,20569.444544,12.587996,2.4948,2.8000,100,2.4946,0.0008,
2026-05-11T01:56:07.049391,20569.952068,13.095539,2.4952,2.8000,100,2.4946,-0.0006,
2026-05-11T01:56:07.557664,20570.460342,13.603805,2.4940,2.8000,100,2.4945,0.0001,
2026-05-11T01:56:08.057679,20570.960367,14.103805,2.4937,2.9000,100,2.4945,0.0003,
2026-05-11T01:56:08.557734,20571.460423,14.603857,2.4909,2.9000,100,2.4926,0.0006,
2026-05-11T01:56:09.073992,20571.976682,15.120110,2.4879,2.9000,100,2.4926,0.0047,
2026-05-11T01:56:09.577388,20572.480075,15.623500,2.4878,2.9000,100,2.4878,0.0082,
2026-05-11T01:56:10.077432,20572.980105,16.123586,2.4887,3.0000,100,2.4878,0.0081,
2026-05-11T01:56:10.577464,20573.480145,16.623609,2.4900,3.0000,100,2.4893,0.0047,
2026-05-11T01:56:11.081852,20573.984536,17.127980,2.4904,3.0000,100,2.4893,0.0049,
2026-05-11T01:56:11.581941,20574.484623,17.628080,2.4910,3.0000,100,2.4907,0.0034,
2026-05-11T01:56:12.085867,20574.988568,18.131991,2.4935,3.1000,100,2.4907,0.0048,
2026-05-11T01:56:12.589560,20575.492241,18.635703,2.4948,3.1000,100,2.4948,-0.0022,
2026-05-11T01:56:13.090178,20575.992874,19.136287,2.4928,3.1000,100,2.4948,0.0015,
2026-05-11T01:56:13.593574,20576.496258,19.639708,2.4930,3.1000,100,2.4929,-0.0007,
2026-05-11T01:56:14.093711,20576.996393,20.139847,2.4931,3.1900,100,2.4929,0.0006,
2026-05-11T01:56:14.597219,20577.499892,20.643373,2.4944,3.1900,100,2.4934,0.0022,
2026-05-11T01:56:15.097419,20578.000097,21.143554,2.4955,3.1900,100,2.4934,0.0001,
2026-05-11T01:56:15.597673,20578.500354,21.643812,2.4948,3.1900,100,2.4949,-0.0014,
2026-05-11T01:56:16.097733,20579.000416,22.143868,2.4940,3.3000,100,2.4949,-0.0032,
2026-05-11T01:56:16.601813,20579.504506,22.647921,2.4917,3.3000,100,2.4923,0.0015,
2026-05-11T01:56:17.109594,20580.012269,23.155744,2.4939,3.3000,100,2.4923,0.0032,
2026-05-11T01:56:17.617952,20580.520640,23.664078,2.4989,3.3000,100,2.4970,-0.0012,
2026-05-11T01:56:18.118508,20581.021195,24.164633,2.5018,3.4000,100,2.4970,-0.0051,
2026-05-11T01:56:18.621652,20581.524335,24.667784,2.5034,3.4000,100,2.5031,-0.0078,
2026-05-11T01:56:19.125133,20582.027806,25.171288,2.5028,3.4000,100,2.5031,-0.0117,
2026-05-11T01:56:19.625288,20582.527959,25.671450,2.5022,3.4000,100,2.5022,-0.0073,
2026-05-11T01:56:20.125643,20583.028326,26.171777,2.5017,3.5000,100,2.5022,-0.0079,
2026-05-11T01:56:20.641599,20583.544278,26.687744,2.5018,3.5000,100,2.5016,-0.0076,
2026-05-11T01:56:21.144893,20584.047564,27.191053,2.5011,3.5000,100,2.5016,-0.0045,
2026-05-11T01:56:21.645088,20584.547758,27.691250,2.4984,3.5000,100,2.4998,-0.0056,
2026-05-11T01:56:22.145257,20585.047927,28.191421,2.4974,3.6000,100,2.4998,-0.0026,
2026-05-11T01:56:22.657215,20585.559888,28.703373,2.4956,3.6000,100,2.4965,-0.0024,
2026-05-11T01:56:23.161128,20586.063801,29.207287,2.4942,3.6000,100,2.4965,0.0018,
2026-05-11T01:56:23.661331,20586.564017,29.707486,2.4930,3.6000,100,2.4939,-0.0000,
2026-05-11T01:56:24.161355,20587.064028,30.207510,2.4925,3.6900,100,2.4939,0.0037,
2026-05-11T01:56:24.661374,20587.564045,30.707534,2.4932,3.6900,100,2.4930,0.0032,
2026-05-11T01:56:25.165111,20588.067783,31.211265,2.4932,3.6900,100,2.4930,0.0033,
2026-05-11T01:56:25.665204,20588.567873,31.711367,2.4920,3.6900,100,2.4922,0.0038,
2026-05-11T01:56:26.165227,20589.067901,32.211370,2.4917,3.8000,100,2.4922,0.0036,
2026-05-11T01:56:26.681343,20589.584021,32.727489,2.4916,3.8000,100,2.4913,0.0021,
2026-05-11T01:56:27.185251,20590.087921,33.231414,2.4922,3.8000,100,2.4913,0.0021,
2026-05-11T01:56:27.701203,20590.603876,33.747361,2.4905,3.8000,100,2.4917,0.0033,
