wall_time_iso,monotonic_s,t_elapsed_s,true_altitude_m,reported_lidar_m,lidar_quality,ekf_altitude_m,vertical_velocity_mps,last_statustext
2026-05-11T02:10:06.789385,21409.692066,0.503606,2.4915,,,2.5020,0.0037,
2026-05-11T02:10:07.297188,21410.199869,1.011411,2.4938,,,2.4937,0.0022,
2026-05-11T02:10:07.797196,21410.699876,1.511427,2.4932,,,2.4937,0.0015,
2026-05-11T02:10:08.297240,21411.199922,2.011464,2.4928,,,2.4929,0.0015,
2026-05-11T02:10:08.797294,21411.699970,2.511522,2.4923,,,2.4929,0.0035,
2026-05-11T02:10:09.301436,21412.204113,3.015626,2.4937,,,2.4936,0.0030,
2026-05-11T02:10:09.817201,21412.719880,3.531429,2.4949,,,2.4936,0.0016,
2026-05-11T02:10:10.317272,21413.219952,4.031498,2.4958,,,2.4959,-0.0003,
2026-05-11T02:10:10.817496,21413.720180,4.531721,2.4954,,,2.4959,-0.0012,
2026-05-11T02:10:11.321119,21414.223798,5.035352,2.4952,,,2.4953,-0.0005,
2026-05-11T02:10:11.821158,21414.723837,5.535385,2.4957,,,2.4953,-0.0013,
2026-05-11T02:10:12.321166,21415.223839,6.035405,2.4912,2.5000,100,2.4922,-0.0008,
2026-05-11T02:10:12.821204,21415.723881,6.535440,2.4864,2.5000,100,2.4922,0.0056,
2026-05-11T02:10:13.321213,21416.223889,7.035447,2.4847,2.5000,100,2.4850,0.0083,
2026-05-11T02:10:13.821277,21416.723957,7.535506,2.4857,2.5000,100,2.4850,0.0102,
2026-05-11T02:10:14.321321,21417.224008,8.035551,2.4886,2.4500,74,2.4880,0.0072,
2026-05-11T02:10:14.837292,21417.739971,8.551525,2.4883,2.4500,74,2.4880,0.0060,
2026-05-11T02:10:15.337346,21418.240020,9.051574,2.4893,2.4500,74,2.4886,0.0084,
2026-05-11T02:10:15.837383,21418.740057,9.551617,2.4927,2.4500,74,2.4886,0.0054,
2026-05-11T02:10:16.341267,21419.243944,10.055500,2.4944,2.4100,74,2.4944,0.0025,
2026-05-11T02:10:16.841294,21419.743974,10.555520,2.4950,2.4100,74,2.4944,0.0014,
2026-05-11T02:10:17.357226,21420.259915,11.071447,2.4947,2.4100,74,2.4946,-0.0000,
2026-05-11T02:10:17.857416,21420.760099,11.571643,2.4959,2.4100,74,2.4946,0.0019,
2026-05-11T02:10:18.361301,21421.263982,12.075531,2.4951,2.3800,74,2.4952,-0.0005,
2026-05-11T02:10:18.861354,21421.764035,12.575575,2.4919,2.3800,74,2.4952,-0.0004,
