wall_time_iso,monotonic_s,t_elapsed_s,true_altitude_m,reported_lidar_m,lidar_quality,ekf_altitude_m,vertical_velocity_mps,last_statustext
2026-05-11T02:41:35.485525,23298.388198,0.506340,2.4973,,,2.4958,-0.0044,
2026-05-11T02:41:35.989167,23298.891837,1.009987,2.4990,,,2.4958,-0.0039,
2026-05-11T02:41:36.489439,23299.392115,1.510251,2.5015,,,2.4995,-0.0049,
2026-05-11T02:41:36.990049,23299.892735,2.010832,2.5044,,,2.4995,-0.0048,
2026-05-11T02:41:37.505151,23300.407822,2.525971,2.5051,,,2.5051,-0.0104,
2026-05-11T02:41:37.005238,23300.907911,3.026057,2.5046,,,2.5051,-0.0115,
2026-05-11T02:41:38.505553,23301.408236,3.526350,2.5031,,,2.5044,-0.0097,
2026-05-11T02:41:39.009713,23301.912399,4.030506,2.5013,,,2.5044,-0.0097,
2026-05-11T02:41:39.513445,23302.416127,4.534240,2.4987,,,2.5006,-0.0068,
2026-05-11T02:41:40.017169,23302.919845,5.037982,2.4987,,,2.5006,-0.0047,
2026-05-11T02:41:40.517709,23303.420389,5.538508,2.4992,,,2.4986,-0.0024,
2026-05-11T02:41:41.021485,23303.924159,6.042300,2.4977,2.4800,100,2.4986,-0.0026,
2026-05-11T02:41:41.525158,23304.427829,6.545981,2.4964,2.4800,100,2.4976,-0.0014,
2026-05-11T02:41:42.041265,23304.943938,7.062083,2.4958,2.4800,100,2.4976,-0.0039,
2026-05-11T02:41:42.545221,23305.447893,7.566043,2.4935,2.4800,100,2.4954,0.0004,
2026-05-11T02:41:43.045421,23305.948096,8.066233,2.4930,2.5000,100,2.4954,0.0017,
2026-05-11T02:41:43.561539,23306.464221,8.582337,2.4918,2.5000,100,2.4927,0.0017,
2026-05-11T02:41:44.061580,23306.964255,9.082393,2.4926,2.5000,100,2.4927,0.0038,
2026-05-11T02:41:44.561709,23307.464386,9.582518,2.4934,2.5000,100,2.4928,0.0012,
2026-05-11T02:41:45.061833,23307.964509,10.082635,2.4930,2.5000,100,2.4928,0.0016,
2026-05-11T02:41:45.565116,23308.467788,10.585937,2.4940,2.5000,100,2.4930,0.0017,
2026-05-11T02:41:46.065125,23308.967797,11.085944,2.4927,2.5000,100,2.4930,-0.0013,
2026-05-11T02:41:46.565152,23309.467826,11.585969,2.4926,2.5000,100,2.4922,0.0034,
2026-05-11T02:41:47.065779,23309.968461,12.086574,2.4928,2.5000,100,2.4922,0.0013,
2026-05-11T02:41:47.569545,23310.472224,12.590349,2.4930,2.5000,100,2.4929,0.0004,
