wall_time_iso,monotonic_s,t_elapsed_s,true_altitude_m,reported_lidar_m,lidar_quality,ekf_altitude_m,vertical_velocity_mps,last_statustext
2026-05-10T00:33:53.153014,45729.287225,0.500741,2.2316,,,2.4190,0.0116,
2026-05-10T00:33:53.653512,45729.787725,1.001073,2.2332,,,2.2325,0.0131,
2026-05-10T00:33:54.156768,45730.290978,1.504503,2.2353,,,2.2325,0.0075,
2026-05-10T00:33:54.657037,45730.791246,2.004634,2.2368,,,2.2366,0.0044,
2026-05-10T00:33:55.157043,45731.291254,2.504772,2.2384,,,2.2366,0.0056,
2026-05-10T00:33:55.660214,45731.794413,3.007923,2.2391,,,2.2390,0.0029,
2026-05-10T00:33:56.165054,45732.299267,3.512782,2.2381,2.5000,100,2.2390,0.0032,
2026-05-10T00:33:56.668823,45732.803035,4.016553,2.2369,2.5000,100,2.2375,0.0046,
2026-05-10T00:33:57.172564,45733.306765,4.520317,2.2366,2.5000,100,2.2375,0.0070,
2026-05-10T00:33:57.676498,45733.810702,5.024245,2.2376,2.5000,100,2.2376,0.0055,
2026-05-10T00:33:58.176593,45734.310801,5.524330,2.2372,2.3100,100,2.2376,0.0042,
2026-05-10T00:33:58.676941,45734.811153,6.024670,2.2363,2.3100,100,2.2363,0.0043,
2026-05-10T00:33:59.180202,45735.314405,6.527952,2.2358,2.3100,100,2.2363,0.0072,
2026-05-10T00:33:59.684874,45735.819081,7.032613,2.2377,2.3100,100,2.2374,0.0053,
2026-05-10T00:34:00.188827,45736.323031,7.536575,2.2377,2.4000,100,2.2374,0.0063,
2026-05-10T00:34:00.688898,45736.823109,8.036617,2.2371,2.4000,100,2.2368,0.0037,
2026-05-10T00:34:01.197300,45737.331508,8.545035,2.2379,2.4000,100,2.2368,0.0034,
2026-05-10T00:34:01.700467,45737.834671,9.048213,2.2361,2.4000,100,2.2366,0.0048,
2026-05-10T00:34:02.201307,45738.335525,9.549027,2.2361,2.5000,100,2.2366,0.0070,
2026-05-10T00:34:02.708793,45738.842997,10.056538,2.2386,2.5000,100,2.2385,0.0033,
2026-05-10T00:34:03.212661,45739.346863,10.560413,2.2390,2.5000,100,2.2385,0.0062,
2026-05-10T00:34:03.716601,45739.850805,11.064350,2.2398,2.5000,100,2.2397,0.0036,
2026-05-10T00:34:04.216596,45740.350797,11.564352,2.2387,2.5000,100,2.2397,0.0003,
2026-05-10T00:34:04.721136,45740.855355,12.068864,2.2375,2.5000,100,2.2381,0.0006,
2026-05-10T00:34:05.221196,45741.355415,12.568922,2.2372,2.5000,100,2.2381,0.0052,
2026-05-10T00:34:05.721239,45741.855454,13.068960,2.2373,2.5000,100,2.2373,0.0056,
2026-05-10T00:34:06.221328,45742.355538,13.569065,2.2377,2.5900,100,2.2373,0.0047,
2026-05-10T00:34:06.728538,45742.862749,14.076271,2.2375,2.5900,100,2.2374,0.0066,
2026-05-10T00:34:07.229387,45743.363599,14.577113,2.2381,2.5900,100,2.2374,0.0037,
2026-05-10T00:34:07.732442,45743.866646,15.080193,2.2381,2.5900,100,2.2383,0.0042,
2026-05-10T00:34:08.232446,45744.366647,15.580204,2.2372,2.6900,100,2.2383,0.0046,
2026-05-10T00:34:08.737394,45744.871610,16.085114,2.2363,2.6900,100,2.2365,0.0029,
2026-05-10T00:34:09.244768,45745.378975,16.592506,2.2347,2.6900,100,2.2365,0.0067,
2026-05-10T00:34:09.753165,45745.887370,17.100907,2.2317,2.6900,100,2.2321,0.0097,
2026-05-10T00:34:10.256512,45746.390718,17.604256,2.2301,2.7800,100,2.2321,0.0115,
2026-05-10T00:34:10.760794,45746.895000,18.108538,2.2299,2.7800,100,2.2298,0.0141,
2026-05-10T00:34:11.265409,45747.399619,18.613138,2.2321,2.7800,100,2.2298,0.0120,
2026-05-10T00:34:11.769311,45747.903520,19.117045,2.2320,2.7800,100,2.2320,0.0070,
2026-05-10T00:34:12.272907,45748.407113,19.620649,2.2332,2.8700,100,2.2320,0.0073,
2026-05-10T00:34:12.773352,45748.907568,20.121074,2.2348,2.8700,100,2.2348,0.0077,
2026-05-10T00:34:13.276714,45749.410917,20.624463,2.2358,2.8700,100,2.2348,0.0076,
2026-05-10T00:34:13.780914,45749.915123,21.128649,2.2372,2.8700,100,2.2370,0.0045,
2026-05-10T00:34:14.281010,45750.415220,21.628746,2.2379,2.9600,100,2.2370,0.0060,
2026-05-10T00:34:14.788563,45750.922762,22.136321,2.2390,2.9600,100,2.2390,0.0020,
2026-05-10T00:34:15.292641,45751.426845,22.640389,2.2379,2.9600,100,2.2390,0.0049,
2026-05-10T00:34:15.792875,45751.927079,23.140622,2.2408,2.9600,100,2.2405,0.0022,
2026-05-10T00:34:16.296951,45752.431159,23.644689,2.2402,2.9600,100,2.2405,-0.0006,
2026-05-10T00:34:16.805211,45752.939432,24.152920,2.2398,2.9600,100,2.2397,0.0027,
2026-05-10T00:34:17.305229,45753.439443,24.652959,2.2402,2.9600,100,2.2397,0.0023,
2026-05-10T00:34:17.808785,45753.943004,25.156498,2.2402,2.9600,100,2.2403,0.0007,
2026-05-10T00:34:18.309108,45754.443315,25.656848,2.2408,3.0500,100,2.2403,0.0015,
2026-05-10T00:34:18.813073,45754.947289,26.160797,2.2435,3.0500,100,2.2432,0.0022,
2026-05-10T00:34:19.313140,45755.447352,26.660868,2.2436,3.0500,100,2.2432,-0.0007,
2026-05-10T00:34:19.820489,45755.954698,27.168237,2.2429,3.0500,100,2.2426,-0.0021,
2026-05-10T00:34:20.321012,45756.455224,27.668736,2.2427,3.1400,100,2.2426,-0.0014,
2026-05-10T00:34:20.824900,45756.959106,28.172640,2.2408,3.1400,100,2.2412,-0.0001,
2026-05-10T00:34:21.325011,45757.459225,28.672735,2.2394,3.1400,100,2.2412,0.0043,
2026-05-10T00:34:21.828793,45757.963011,29.176521,2.2367,3.1400,100,2.2379,0.0024,
2026-05-10T00:34:22.332551,45758.466756,29.680296,2.2347,3.2200,100,2.2379,0.0074,
2026-05-10T00:34:22.832718,45758.966924,30.180460,2.2343,3.2200,100,2.2343,0.0079,
2026-05-10T00:34:23.340595,45759.474799,30.688333,2.2352,3.2200,100,2.2343,0.0075,
2026-05-10T00:34:23.844906,45759.979114,31.192644,2.2332,3.2200,100,2.2338,0.0072,
2026-05-10T00:34:24.344975,45760.479183,31.692717,2.2320,3.2200,100,2.2338,0.0091,
2026-05-10T00:34:24.845665,45760.979886,32.193373,2.2308,3.2200,100,2.2308,0.0123,
2026-05-10T00:34:25.348585,45761.482791,32.696333,2.2311,3.2200,100,2.2308,0.0125,
2026-05-10T00:34:25.852699,45761.986902,33.200448,2.2325,3.2200,100,2.2325,0.0119,
2026-05-10T00:34:26.356572,45762.490778,33.704314,2.2307,3.3000,100,2.2325,0.0080,
2026-05-10T00:34:26.861306,45762.995517,34.209035,2.2281,3.3000,100,2.2279,0.0131,
2026-05-10T00:34:27.368780,45763.502985,34.716524,2.2287,3.3000,100,2.2279,0.0121,
2026-05-10T00:34:27.872882,45764.007089,35.220621,2.2313,3.3000,100,2.2303,0.0142,
2026-05-10T00:34:28.372946,45764.507153,35.720681,2.2351,3.3000,100,2.2303,0.0090,
2026-05-10T00:34:28.873037,45765.007364,36.220779,2.2332,3.3000,100,2.2339,0.0060,
2026-05-10T00:34:29.376868,45765.511069,36.724619,2.2343,3.3000,100,2.2339,0.0087,
2026-05-10T00:34:29.880602,45766.014807,37.228349,2.2362,3.3000,100,2.2361,0.0075,
2026-05-10T00:34:30.380665,45766.514871,37.728410,2.2386,3.3800,100,2.2361,0.0059,
2026-05-10T00:34:30.881098,45767.015316,38.228819,2.2404,3.3800,100,2.2405,0.0005,
2026-05-10T00:34:31.388951,45767.523162,38.736685,2.2404,3.3800,100,2.2405,-0.0002,
2026-05-10T00:34:31.892758,45768.026960,39.240505,2.2415,3.3800,100,2.2413,0.0003,
2026-05-10T00:34:32.393013,45768.527221,39.740751,2.2403,3.4600,100,2.2413,0.0005,
2026-05-10T00:34:32.893041,45769.027251,40.240776,2.2395,3.4600,100,2.2391,0.0052,
2026-05-10T00:34:33.400826,45769.535028,40.748578,2.2404,3.4600,100,2.2391,0.0013,
2026-05-10T00:34:33.905294,45770.039499,41.253034,2.2399,3.4600,100,2.2396,0.0041,
2026-05-10T00:34:34.408745,45770.542950,41.756488,2.2402,3.4600,100,2.2396,0.0014,
2026-05-10T00:34:34.909334,45771.043547,42.257056,2.2413,3.4600,100,2.2409,0.0034,
2026-05-10T00:34:35.412716,45771.546922,42.760458,2.2407,3.4600,100,2.2409,0.0014,
2026-05-10T00:34:35.912895,45772.047102,43.260637,2.2408,3.4600,100,2.2404,0.0032,
2026-05-10T00:34:36.420736,45772.554943,43.768476,2.2410,3.5300,100,2.2404,0.0022,
2026-05-10T00:34:36.925306,45773.059521,44.273033,2.2397,3.5300,100,2.2401,0.0008,
2026-05-10T00:34:37.425397,45773.559611,44.773121,2.2383,3.5300,100,2.2401,0.0041,
2026-05-10T00:34:37.925429,45774.059644,45.273152,2.2370,3.5300,100,2.2372,0.0047,
