wall_time_iso,monotonic_s,t_elapsed_s,true_altitude_m,reported_lidar_m,lidar_quality,ekf_altitude_m,vertical_velocity_mps,last_statustext
2026-05-10T00:35:25.969412,45822.103634,0.505389,2.2551,,,2.4420,-0.0131,
2026-05-10T00:35:26.469991,45822.604210,1.005467,2.2531,,,2.2551,-0.0135,
2026-05-10T00:35:26.976802,45823.111013,1.512814,2.2496,,,2.2551,-0.0112,
2026-05-10T00:35:27.477473,45823.611681,2.013368,2.2467,,,2.2491,-0.0064,
2026-05-10T00:35:27.984586,45824.118785,2.520625,2.2448,2.5000,100,2.2491,-0.0022,
2026-05-10T00:35:28.484906,45824.619112,3.020793,2.2430,2.5000,100,2.2445,-0.0019,
2026-05-10T00:35:28.989244,45825.123458,3.525245,2.2417,2.5000,100,2.2445,-0.0000,
2026-05-10T00:35:29.492700,45825.626908,4.028720,2.2414,2.5000,100,2.2415,0.0001,
2026-05-10T00:35:29.992764,45826.126979,4.528772,2.2397,2.5000,100,2.2415,0.0016,
2026-05-10T00:35:30.493310,45826.627521,5.029144,2.2368,2.5000,100,2.2392,0.0022,
2026-05-10T00:35:30.993310,45827.127520,5.529329,2.2357,2.5000,100,2.2392,0.0081,
2026-05-10T00:35:31.501038,45827.635242,6.036953,2.2355,2.5000,100,2.2356,0.0059,
2026-05-10T00:35:31.004774,45828.138982,6.540793,2.2361,2.5000,100,2.2356,0.0085,
2026-05-10T00:35:32.504928,45828.639130,7.040954,2.2388,2.5000,100,2.2365,0.0064,
2026-05-10T00:35:33.012993,45829.147198,7.549018,2.2412,2.5000,100,2.2365,0.0028,
2026-05-10T00:35:33.517518,45829.651737,8.053504,2.2439,2.5000,100,2.2415,0.0018,
2026-05-10T00:35:34.024822,45830.159028,8.560847,2.2446,2.5000,39,2.2415,-0.0032,
2026-05-10T00:35:34.524857,45830.659067,9.060877,2.2448,2.5000,39,2.2447,-0.0017,
2026-05-10T00:35:35.028840,45831.163041,9.564876,2.2456,2.5000,39,2.2447,-0.0028,
2026-05-10T00:35:35.532762,45831.666968,10.068783,2.2440,2.5000,39,2.2454,-0.0044,
2026-05-10T00:35:36.037184,45832.171394,10.573199,2.2435,2.4900,100,2.2454,-0.0007,
2026-05-10T00:35:36.544739,45832.678942,11.080769,2.2434,2.4900,100,2.2436,-0.0017,
2026-05-10T00:35:37.045483,45833.179695,11.581492,2.2422,2.4900,100,2.2436,0.0008,
2026-05-10T00:35:37.549141,45833.683359,12.085145,2.2411,2.4900,100,2.2422,-0.0009,
2026-05-10T00:35:38.056507,45834.190715,12.592529,2.2376,2.5000,100,2.2422,0.0025,
2026-05-10T00:35:38.560986,45834.695196,13.097002,2.2382,2.5000,100,2.2376,0.0049,
2026-05-10T00:35:39.068826,45835.203033,13.604848,2.2370,2.5000,100,2.2376,0.0041,
2026-05-10T00:35:39.572659,45835.706863,14.108687,2.2349,2.5000,100,2.2368,0.0066,
2026-05-10T00:35:40.076541,45836.210743,14.612578,2.2356,2.5100,39,2.2368,0.0064,
2026-05-10T00:35:40.576649,45836.710854,15.112675,2.2353,2.5100,39,2.2357,0.0053,
2026-05-10T00:35:41.080769,45837.214971,15.616804,2.2347,2.5100,39,2.2357,0.0097,
2026-05-10T00:35:41.585109,45837.719323,16.121121,2.2366,2.5100,39,2.2349,0.0081,
2026-05-10T00:35:42.089233,45838.223445,16.625237,2.2373,2.5100,39,2.2349,0.0049,
2026-05-10T00:35:42.592316,45838.726516,17.128355,2.2382,2.5100,39,2.2373,0.0027,
2026-05-10T00:35:43.092330,45839.226531,17.628370,2.2378,2.5100,39,2.2373,0.0024,
2026-05-10T00:35:43.597026,45839.731229,18.133055,2.2389,2.5100,39,2.2376,0.0044,
2026-05-10T00:35:44.097111,45840.231321,18.633130,2.2412,2.4900,100,2.2376,0.0009,
2026-05-10T00:35:44.597148,45840.731359,19.133162,2.2421,2.4900,100,2.2414,0.0005,
2026-05-10T00:35:45.097197,45841.231408,19.633215,2.2407,2.4900,100,2.2414,0.0009,
2026-05-10T00:35:45.601301,45841.735519,20.137297,2.2400,2.4900,100,2.2408,0.0011,
2026-05-10T00:35:46.101316,45842.235526,20.637332,2.2375,2.5000,39,2.2408,0.0029,
2026-05-10T00:35:46.605632,45842.739850,21.141627,2.2388,2.5000,39,2.2373,0.0055,
2026-05-10T00:35:47.108634,45843.242836,21.644671,2.2388,2.5000,39,2.2373,0.0026,
2026-05-10T00:35:47.616412,45843.750612,22.152451,2.2379,2.5000,39,2.2390,0.0037,
2026-05-10T00:35:48.117443,45844.251657,22.653450,2.2372,2.5000,44,2.2390,0.0048,
2026-05-10T00:35:48.620459,45844.754667,23.156475,2.2351,2.5000,44,2.2368,0.0067,
2026-05-10T00:35:49.121424,45845.255646,23.657413,2.2335,2.5000,44,2.2368,0.0078,
2026-05-10T00:35:49.624848,45845.759054,24.160867,2.2338,2.5000,44,2.2337,0.0085,
2026-05-10T00:35:50.125237,45846.259447,24.661245,2.2324,2.5000,39,2.2337,0.0079,
2026-05-10T00:35:50.632954,45846.767159,25.168979,2.2319,2.5000,39,2.2325,0.0080,
2026-05-10T00:35:51.136574,45847.270777,25.672605,2.2328,2.5000,39,2.2325,0.0111,
2026-05-10T00:35:51.636812,45847.771015,26.172842,2.2366,2.5000,39,2.2335,0.0099,
2026-05-10T00:35:52.137482,45848.271692,26.673495,2.2386,2.5000,100,2.2335,0.0064,
2026-05-10T00:35:52.640662,45848.774864,27.176693,2.2394,2.5000,100,2.2389,0.0037,
2026-05-10T00:35:53.140724,45849.274927,27.676755,2.2408,2.5000,100,2.2389,0.0022,
2026-05-10T00:35:53.641170,45849.775376,28.177185,2.2421,2.5000,100,2.2415,-0.0000,
2026-05-10T00:35:54.148932,45850.283138,28.684954,2.2408,2.4900,100,2.2415,0.0010,
2026-05-10T00:35:54.653088,45850.787300,29.189079,2.2419,2.4900,100,2.2410,0.0011,
2026-05-10T00:35:55.153281,45851.287491,29.689281,2.2403,2.4900,100,2.2410,0.0005,
2026-05-10T00:35:55.657045,45851.791260,30.193053,2.2396,2.4900,100,2.2401,0.0019,
2026-05-10T00:35:56.157231,45852.291439,30.693249,2.2393,2.5000,100,2.2401,0.0044,
2026-05-10T00:35:56.660523,45852.794724,31.196558,2.2401,2.5000,100,2.2394,0.0022,
2026-05-10T00:35:57.165102,45853.299311,31.701116,2.2406,2.5000,100,2.2394,0.0011,
2026-05-10T00:35:57.669235,45853.803447,32.205248,2.2397,2.5000,100,2.2404,0.0020,
2026-05-10T00:35:58.176874,45854.311080,32.712899,2.2387,2.5000,39,2.2404,0.0037,
2026-05-10T00:35:58.681423,45854.815639,33.217426,2.2394,2.5000,39,2.2386,0.0036,
2026-05-10T00:35:59.184642,45855.318845,33.720671,2.2414,2.5000,39,2.2386,0.0033,
2026-05-10T00:35:59.689293,45855.823511,34.225285,2.2435,2.5000,39,2.2416,0.0005,
2026-05-10T00:36:00.189302,45856.323510,34.725319,2.2445,2.5000,100,2.2416,-0.0016,
2026-05-10T00:36:00.693048,45856.827257,35.229068,2.2443,2.5000,100,2.2445,-0.0014,
2026-05-10T00:36:01.193073,45857.327282,35.729092,2.2433,2.5000,100,2.2445,-0.0042,
2026-05-10T00:36:01.701081,45857.835297,36.237085,2.2425,2.5000,100,2.2431,0.0017,
2026-05-10T00:36:02.209243,45858.343450,36.745263,2.2424,2.5000,100,2.2431,-0.0005,
2026-05-10T00:36:02.709316,45858.843522,37.245334,2.2415,2.5000,100,2.2423,-0.0006,
2026-05-10T00:36:03.209500,45859.343718,37.745495,2.2396,2.5000,100,2.2423,0.0002,
2026-05-10T00:36:03.712974,45859.847183,38.248989,2.2381,2.5000,100,2.2393,0.0018,
2026-05-10T00:36:04.216758,45860.350962,38.752786,2.2378,2.5000,39,2.2393,0.0044,
2026-05-10T00:36:04.717282,45860.851499,39.253285,2.2383,2.5000,39,2.2379,0.0036,
2026-05-10T00:36:05.220684,45861.354887,39.756715,2.2367,2.5000,39,2.2379,0.0043,
2026-05-10T00:36:05.720762,45861.854970,40.256783,2.2362,2.5000,39,2.2367,0.0071,
2026-05-10T00:36:06.220890,45862.355096,40.756913,2.2361,2.4900,39,2.2367,0.0074,
2026-05-10T00:36:06.724950,45862.859155,41.260977,2.2382,2.4900,39,2.2363,0.0050,
2026-05-10T00:36:07.225097,45863.359306,41.761112,2.2388,2.4900,39,2.2363,0.0046,
2026-05-10T00:36:07.728894,45863.863104,42.264910,2.2401,2.4900,39,2.2389,0.0005,
2026-05-10T00:36:08.232694,45864.366897,42.768727,2.2413,2.5000,100,2.2389,0.0025,
2026-05-10T00:36:08.732751,45864.866956,43.268781,2.2451,2.5000,100,2.2416,0.0001,
2026-05-10T00:36:09.232861,45865.367070,43.768886,2.2470,2.5000,100,2.2416,-0.0037,
2026-05-10T00:36:09.736659,45865.870863,44.272687,2.2474,2.5000,100,2.2472,-0.0047,
2026-05-10T00:36:10.236854,45866.371063,44.772875,2.2471,2.5000,39,2.2472,-0.0060,
2026-05-10T00:36:10.736891,45866.871098,45.272915,2.2468,2.5000,39,2.2470,-0.0042,
2026-05-10T00:36:11.244339,45867.378537,45.780383,2.2473,2.5000,39,2.2470,-0.0033,
2026-05-10T00:36:11.745117,45867.879329,46.281126,2.2454,2.5000,39,2.2471,-0.0031,
2026-05-10T00:36:12.245717,45868.379936,46.781709,2.2443,2.5000,39,2.2471,-0.0028,
2026-05-10T00:36:12.748767,45868.882985,47.284768,2.2415,2.5000,39,2.2442,-0.0001,
2026-05-10T00:36:13.248974,45869.383186,47.784988,2.2404,2.5000,39,2.2442,0.0023,
2026-05-10T00:36:13.749335,45869.883553,48.285329,2.2386,2.5000,39,2.2404,0.0022,
2026-05-10T00:36:14.252594,45870.386798,48.788621,2.2370,2.5000,44,2.2404,0.0028,
2026-05-10T00:36:14.757482,45870.891693,49.293495,2.2375,2.5000,44,2.2370,0.0072,
2026-05-10T00:36:15.264927,45871.399132,49.800951,2.2360,2.5000,44,2.2370,0.0055,
2026-05-10T00:36:15.768815,45871.903022,50.304836,2.2326,2.5000,44,2.2357,0.0084,
2026-05-10T00:36:16.272453,45872.406663,50.808472,2.2315,2.5000,39,2.2357,0.0101,
2026-05-10T00:36:16.772801,45872.907006,51.308831,2.2318,2.5000,39,2.2314,0.0108,
2026-05-10T00:36:17.276718,45873.410922,51.812746,2.2322,2.5000,39,2.2314,0.0100,
2026-05-10T00:36:17.784422,45873.918622,52.320460,2.2322,2.5000,39,2.2321,0.0118,
2026-05-10T00:36:18.288584,45874.422787,52.824617,2.2349,2.5000,39,2.2321,0.0086,
2026-05-10T00:36:18.788811,45874.923023,53.324832,2.2354,2.5000,39,2.2351,0.0087,
2026-05-10T00:36:19.289557,45875.423771,53.825559,2.2358,2.5000,39,2.2351,0.0050,
2026-05-10T00:36:19.792640,45875.926845,54.328667,2.2380,2.5000,39,2.2359,0.0059,
2026-05-10T00:36:20.296943,45876.431146,54.832974,2.2395,2.4900,29,2.2359,0.0042,
2026-05-10T00:36:20.800837,45876.935047,55.336855,2.2390,2.4900,29,2.2395,0.0051,
2026-05-10T00:36:21.304418,45877.438622,55.840448,2.2377,2.4900,29,2.2395,0.0019,
2026-05-10T00:36:21.804436,45877.938636,56.340476,2.2385,2.4900,29,2.2376,0.0038,
2026-05-10T00:36:22.304673,45878.438886,56.840685,2.2369,2.4900,39,2.2376,0.0061,
