experiment,samples,rejected,clamped,faults,ekf_drift_m,ekf_start_m
constant____countermeasure_robust_fallback___fault_threshold_2,1500,0,0,0,-0.009,2.50
constant____countermeasure_robust_fallback___fault_threshold_3,1500,0,0,0,-0.031,2.52
constant____countermeasure_robust_fallback___fault_threshold_5,1500,0,0,0,-0.016,2.50
constant____countermeasure_robust_fallback___hold_seconds_0.5,1500,0,0,0,0.007,2.49
constant____countermeasure_robust_fallback___hold_seconds_1.0,1500,0,0,0,-0.023,2.51
constant____countermeasure_robust_fallback___hold_seconds_2.0,1500,0,0,0,0.003,2.50
constant____countermeasure_robust_fallback___hold_seconds_3.0,1500,0,0,0,0.006,2.50
constant____countermeasure_robust_fallback___min_quality_30,1500,0,0,0,0.002,2.50
constant____countermeasure_robust_fallback___min_quality_50,1500,0,0,0,-0.011,2.50
constant____countermeasure_robust_fallback___residual_threshold_m_0.3,1500,0,0,0,-0.003,2.50
constant____countermeasure_robust_fallback___residual_threshold_m_0.5,1500,0,0,0,-0.010,2.50
constant____countermeasure_robust_fallback___residual_threshold_m_0.75,1500,0,0,0,0.003,2.49
constant____countermeasure_robust_fallback___residual_threshold_m_1.0,1500,0,0,0,0.000,2.49
constant____countermeasure_robust_fallback___window_size_3,1500,0,0,0,-0.014,2.50
constant____countermeasure_robust_fallback___window_size_5,1500,0,0,0,0.005,2.49
constant____countermeasure_robust_fallback___window_size_7,1500,0,0,0,-0.013,2.51
constant____countermeasure_slew_gate___max_jump_m_0.3,1500,0,0,0,-0.008,2.50
constant____countermeasure_slew_gate___max_jump_m_0.5,1500,0,0,0,0.002,2.50
constant____countermeasure_slew_gate___max_jump_m_0.75,1500,0,0,0,0.002,2.49
constant____countermeasure_slew_gate___max_jump_m_1.0,1500,0,0,0,-0.006,2.50
constant____countermeasure_slew_gate___max_rate_mps_0.2,1500,0,0,0,0.006,2.49
constant____countermeasure_slew_gate___max_rate_mps_0.4,1500,0,0,0,0.000,2.50
constant____countermeasure_slew_gate___max_rate_mps_0.4___reject_instead_of_clamp,1500,0,0,0,-0.010,2.51
constant____countermeasure_slew_gate___max_rate_mps_0.6,1500,0,0,0,-0.003,2.50
constant____countermeasure_slew_gate___max_rate_mps_0.8,1500,0,0,0,0.007,2.49
constant__no_countermeasure,1500,0,0,0,0.003,2.50
drift____countermeasure_robust_fallback___fault_threshold_2,1500,0,0,0,0.002,2.49
drift____countermeasure_robust_fallback___fault_threshold_3,1500,0,0,0,0.002,2.49
drift____countermeasure_robust_fallback___fault_threshold_5,1500,0,0,0,-0.015,2.51
drift____countermeasure_robust_fallback___hold_seconds_0.5,1500,0,0,0,0.005,2.49
drift____countermeasure_robust_fallback___hold_seconds_1.0,1500,0,0,0,-0.015,2.50
drift____countermeasure_robust_fallback___hold_seconds_2.0,1497,0,0,0,0.001,2.49
drift____countermeasure_robust_fallback___hold_seconds_3.0,1500,0,0,0,-0.016,2.50
drift____countermeasure_robust_fallback___min_quality_30,1500,0,0,0,-0.013,2.50
drift____countermeasure_robust_fallback___min_quality_50,1500,0,0,0,-0.011,2.50
drift____countermeasure_robust_fallback___residual_threshold_m_0.3,1500,0,0,0,-0.006,2.50
drift____countermeasure_robust_fallback___residual_threshold_m_0.5,1500,0,0,0,0.004,2.50
drift____countermeasure_robust_fallback___residual_threshold_m_0.75,1500,0,0,0,-0.005,2.50
drift____countermeasure_robust_fallback___residual_threshold_m_1.0,1500,0,0,0,-0.018,2.51
drift____countermeasure_robust_fallback___window_size_3,1500,0,0,0,0.007,2.49
drift____countermeasure_robust_fallback___window_size_5,1500,0,0,0,-0.009,2.51
drift____countermeasure_robust_fallback___window_size_7,1500,0,0,0,0.002,2.49
drift____countermeasure_slew_gate___max_jump_m_0.3,1500,0,0,0,-0.001,2.50
drift____countermeasure_slew_gate___max_jump_m_0.5,1500,0,0,0,-0.016,2.51
drift____countermeasure_slew_gate___max_jump_m_0.75,1500,0,0,0,-0.010,2.50
drift____countermeasure_slew_gate___max_jump_m_1.0,1500,0,0,0,-0.007,2.51
drift____countermeasure_slew_gate___max_rate_mps_0.2,1500,0,300,0,0.001,2.49
drift____countermeasure_slew_gate___max_rate_mps_0.4,1500,0,150,0,-0.002,2.50
drift____countermeasure_slew_gate___max_rate_mps_0.4___reject_instead_of_clamp,1500,150,0,0,0.016,2.49
drift____countermeasure_slew_gate___max_rate_mps_0.6,1500,0,0,0,-0.000,2.49
drift____countermeasure_slew_gate___max_rate_mps_0.8,1500,0,0,0,-0.016,2.51
drift__no_countermeasure,1500,0,0,0,-0.019,2.51
normal____countermeasure_robust_fallback___fault_threshold_2,1500,0,0,0,-0.002,2.50
normal____countermeasure_robust_fallback___fault_threshold_3,1500,0,0,0,0.010,2.49
normal____countermeasure_robust_fallback___fault_threshold_5,1500,0,0,0,-0.003,2.50
normal____countermeasure_robust_fallback___hold_seconds_0.5,1500,0,0,0,0.008,2.49
normal____countermeasure_robust_fallback___hold_seconds_1.0,1500,0,0,0,-0.004,2.50
normal____countermeasure_robust_fallback___hold_seconds_2.0,1500,0,0,0,-0.001,2.50
normal____countermeasure_robust_fallback___hold_seconds_3.0,1500,0,0,0,0.004,2.50
normal____countermeasure_robust_fallback___min_quality_30,1500,0,0,0,-0.016,2.51
normal____countermeasure_robust_fallback___min_quality_50,1500,0,0,0,-0.020,2.51
normal____countermeasure_robust_fallback___residual_threshold_m_0.3,1500,0,0,0,-0.016,2.51
normal____countermeasure_robust_fallback___residual_threshold_m_0.5,1500,0,0,0,-0.012,2.50
normal____countermeasure_robust_fallback___residual_threshold_m_0.75,1500,0,0,0,0.017,2.48
normal____countermeasure_robust_fallback___residual_threshold_m_1.0,1500,0,0,0,-0.005,2.50
normal____countermeasure_robust_fallback___window_size_3,1500,0,0,0,-0.007,2.50
normal____countermeasure_robust_fallback___window_size_5,1500,0,0,0,-0.008,2.50
normal____countermeasure_robust_fallback___window_size_7,1500,0,0,0,-0.002,2.50
