experiment,mode,countermeasure,max_rate_mps,max_jump_m,reject_mode,window_size,fault_threshold,hold_seconds,residual_threshold_m,min_quality,total_samples,rejected,clamped,faults,ekf_drift_m,ekf_start_m,ekf_max_deviation_m,ekf_std_m,lidar_range_m
constant____countermeasure_robust_fallback___fault_threshold_1,constant,robust_fallback,,,,,1,,,,1500,0,0,0,72.7659,2.06,72.7724,8.3459,0.0
constant____countermeasure_robust_fallback___fault_threshold_2,constant,robust_fallback,,,,,2,,,,1500,0,0,0,0.002,74.83,0.0134,0.0044,0.0
constant____countermeasure_robust_fallback___fault_threshold_3,constant,robust_fallback,,,,,3,,,,1500,0,0,0,72.7561,2.07,72.7719,8.3457,0.0
constant____countermeasure_robust_fallback___fault_threshold_5,constant,robust_fallback,,,,,5,,,,1500,0,0,0,72.7547,2.07,72.7681,8.3452,0.0
constant____countermeasure_robust_fallback___hold_seconds_0.5,constant,robust_fallback,,,,,,0.5,,,1500,0,0,0,72.7699,2.06,72.7819,8.3464,0.0
constant____countermeasure_robust_fallback___hold_seconds_1.0,constant,robust_fallback,,,,,,1.0,,,1500,0,0,0,72.7746,2.06,72.7774,8.3465,0.0
constant____countermeasure_robust_fallback___hold_seconds_2.0,constant,robust_fallback,,,,,,2.0,,,1500,0,0,0,0.0049,74.82,0.019,0.0059,0.0
constant____countermeasure_robust_fallback___hold_seconds_3.0,constant,robust_fallback,,,,,,3.0,,,1500,0,0,0,0.0114,74.82,0.0154,0.0053,0.0
constant____countermeasure_robust_fallback___residual_threshold_m_0.5,constant,robust_fallback,,,,,,,0.5,,1500,0,0,0,72.7573,2.06,72.7773,8.3461,0.0
constant____countermeasure_robust_fallback___residual_threshold_m_1.0,constant,robust_fallback,,,,,,,1.0,,1500,0,0,0,72.7749,2.06,72.7793,8.3464,0.0
constant____countermeasure_robust_fallback___residual_threshold_m_1.5,constant,robust_fallback,,,,,,,1.5,,1500,0,0,0,72.7665,2.06,72.7746,8.346,0.0
constant____countermeasure_robust_fallback___residual_threshold_m_2.0,constant,robust_fallback,,,,,,,2.0,,1500,0,0,0,0.0077,74.82,0.0144,0.0037,0.0
constant____countermeasure_robust_fallback___window_size_3,constant,robust_fallback,,,,3,,,,,1500,0,0,0,72.7557,2.06,72.7749,8.3455,0.0
constant____countermeasure_robust_fallback___window_size_5,constant,robust_fallback,,,,5,,,,,1500,0,0,0,72.7693,2.06,72.7787,8.3465,0.0
constant____countermeasure_robust_fallback___window_size_7,constant,robust_fallback,,,,7,,,,,1500,0,0,0,0.0045,74.83,0.0168,0.0066,0.0
constant____countermeasure_slew_gate___max_jump_m_0.5,constant,slew_gate,,0.5,clamp,,,,,,1500,0,0,0,-0.0054,74.83,0.0116,0.004,0.0
constant____countermeasure_slew_gate___max_jump_m_1.0,constant,slew_gate,,1.0,clamp,,,,,,1500,0,0,0,-0.0003,74.83,0.0123,0.006,0.0
constant____countermeasure_slew_gate___max_jump_m_2.0,constant,slew_gate,,2.0,clamp,,,,,,1500,0,0,0,72.7714,2.06,72.7756,8.3459,0.0
